ID  RSSI  Neighbors  Sources  Throughput
71 -75.6195 3 2 0
141 -78.031 5 0 0
211 -83.8787 5 0 0
281 -77.2775 5 0 0
351 0 3 -1 0
421 -73.9837 4 1 0
491 0 7 -1 0
561 0 8 -1 0
631 0 8 -1 0
701 -72.4297 5 0 0
771 -81.8219 3 2 0
841 0 4 -1 0
4306 -70.9993 4 0 0
4467 -80.8661 5 1 0
4628 -77.9029 3 0 0
71 -76.8794 3 3 0
141 -77.0279 5 4 0
211 -77.7145 5 1 0
281 -76.7876 5 2 0
351 -71.7232 3 0 0
421 -76.199 4 2 0
491 -75.1732 7 1 0
561 -72.0116 8 0 0
631 -70.9635 8 0 0
701 -72.4297 5 0 0
771 -80.0467 3 4 0
841 -76.8185 4 1 0
4306 -77.0192 4 2 0
4467 -78.7028 5 3 0
4628 -73.9345 3 2 0
71 -76.8794 3 3 0.346113
141 -77.0279 5 4 0.923435
211 -77.7145 5 1 0
281 -76.7876 4 2 0.269348
351 -71.7232 3 0 0
421 -76.199 4 2 0
491 -75.1732 7 1 0.0265759
561 -72.0116 8 0 0
631 -70.9635 6 0 0
701 -72.4297 4 0 0
771 -80.0467 3 4 0.26447
841 -76.8185 4 1 0.0231979
4306 -77.0192 4 2 0
4467 -78.7028 4 3 0.26447
4628 -73.9345 3 2 0.0231979
71 -76.8794 3 3 1.46186
141 -77.0279 4 4 1.87324
211 -77.7145 4 1 0
281 -76.7876 4 2 0.506524
351 -71.7232 3 0 0
421 -76.199 3 2 0
491 -75.1732 5 1 0.0166482
561 -72.0116 5 0 0
631 -70.9635 5 0 0
701 -72.4297 3 0 0
771 -80.0467 3 4 0.353333
841 -76.8185 3 1 0.017006
4306 -77.0192 3 2 0
4467 -78.7028 4 3 0.353333
4628 -73.9345 3 2 0.017006
71 -76.8794 2 3 1.78584
141 -77.0279 1 4 2.70678
281 -77.9559 0 4 1.20869
491 -75.1732 2 1 0.0141773
771 -78.8413 2 6 0.338774
841 -76.8185 1 1 0.0153603
4467 -78.7028 1 3 0.338774
4628 -73.9345 1 2 0.0153603
71 -76.8794 1 3 2.70864
141 -77.0279 1 4 2.86486
281 -77.9559 0 4 1.79284
491 -75.1732 3 1 0.0111652
771 -78.8413 0 6 0.429483
841 -76.8185 1 1 0.0114541
4467 -79.8692 0 3 0.429483
4628 -73.9345 1 2 0.0114541
71 -76.8794 1 3 2.83615
141 -77.0279 0 4 2.95787
281 -77.9559 0 4 2.67046
491 -75.1732 3 1 0.0100118
771 -78.8413 1 6 0.430049
841 -76.8185 1 1 0.0100965
4467 -79.8692 1 4 0.430049
4628 -73.9345 0 2 0.0100965
71 -76.8794 2 3 2.81302
141 -77.0279 2 4 3.26102
281 -77.9559 0 4 2.78367
491 -75.1732 4 1 0.0082762
771 -78.8413 2 6 0.557826
841 -76.8185 2 1 0.00842227
4467 -79.8692 0 4 0.557826
4628 -73.9345 1 2 0.00842227
71 -76.8794 2 3 2.70634
141 -77.0279 2 4 3.42237
281 -77.9559 0 4 2.90117
491 -75.1732 3 1 0.00759666
771 -78.8413 1 6 0.639685
841 -76.8185 2 1 0.00765783
4467 -79.8692 0 4 0.639685
4628 -73.9345 1 2 0.00765783
71 -76.8794 2 3 2.92622
141 -77.0279 1 4 3.37766
281 -77.9559 0 4 3.09696
491 -75.1732 3 1 0.00678401
771 -78.8413 2 6 0.632005
841 -76.8185 2 1 0.00665586
4467 -79.8692 1 4 0.632005
4628 -73.9345 0 2 0.00665586
71 -76.8794 1 3 3.33603
141 -77.0279 0 4 3.33915
281 -77.9559 0 4 3.29338
491 -75.1732 2 1 0.00615929
771 -78.8413 1 6 0.63638
841 -76.8185 0 1 0.00606841
4467 -79.8692 0 4 0.63638
4628 -73.9345 1 2 0.00606841
71 -76.8794 2 3 3.57071
141 -77.0279 2 4 3.22771
281 -77.9559 0 4 3.74039
491 -75.1732 4 1 0.00564436
771 -78.8413 2 6 0.654038
841 -76.8185 2 1 0.00570748
4467 -79.8692 1 4 0.654038
4628 -73.9345 1 2 0.00570748
71 -76.8794 2 3 3.64977
141 -77.0279 2 4 3.24259
281 -77.9559 0 4 3.89246
491 -75.1732 3 1 0.00520052
771 -78.8413 2 6 0.61537
841 -76.8185 1 1 0.00513797
4467 -79.8692 0 4 0.61537
4628 -73.9345 1 2 0.00513797
71 -76.8794 2 3 3.89046
141 -77.0279 2 4 3.28316
281 -77.9559 0 4 4.10139
491 -75.1732 4 1 0.00486852
771 -78.8413 2 6 0.582229
841 -76.8185 2 1 0.00473781
4467 -79.8692 1 4 0.582229
4628 -73.9345 1 2 0.00473781
71 -76.8794 1 3 3.77523
141 -77.0279 1 4 3.55283
281 -77.9559 0 4 4.00329
491 -75.1732 4 1 0.00442586
771 -78.8413 1 6 0.622401
841 -76.8185 1 1 0.00462419
4467 -79.8692 1 4 0.622401
4628 -73.9345 1 2 0.00462419
71 -76.8794 2 3 3.78457
141 -77.0279 2 4 3.52614
281 -77.9559 0 4 3.9706
491 -75.1732 3 1 0.00420316
771 -78.8413 2 6 0.621033
841 -76.8185 1 1 0.00418075
4467 -79.8692 1 4 0.621033
4628 -73.9345 1 2 0.00418075
71 -76.8794 2 3 3.90871
141 -77.0279 2 4 3.5534
281 -77.9559 0 4 4.1046
491 -75.1732 3 1 0.0039356
771 -78.8413 2 6 0.614408
841 -76.8185 1 1 0.0039843
4467 -79.8692 1 4 0.614408
4628 -73.9345 1 2 0.0039843
71 -76.8794 2 3 3.9445
141 -77.0279 2 4 3.52466
281 -77.9559 0 4 4.1697
491 -75.1732 3 1 0.00371645
771 -78.8413 2 6 0.615283
841 -76.8185 1 1 0.00382092
4467 -79.8692 1 4 0.615283
4628 -73.9345 1 2 0.00382092
71 -76.8794 2 3 4.01616
141 -77.0279 2 4 3.48314
281 -77.9559 0 4 4.40005
491 -75.1732 2 1 0.00353099
771 -78.8413 1 6 0.621544
841 -76.8185 1 1 0.00352189
4467 -79.8692 1 4 0.621544
4628 -73.9345 1 2 0.00352189
71 -76.8794 1 3 4.07032
141 -77.0279 2 4 3.43212
281 -77.9559 0 4 4.45135
491 -75.1732 1 1 0.00343081
771 -78.8413 1 6 0.596212
841 -76.8185 1 1 0.00333236
4467 -79.8692 0 4 0.596212
4628 -73.9345 1 2 0.00333236
71 -76.8794 2 3 4.16318
141 -77.0279 2 4 3.38697
281 -77.9559 0 4 4.58926
491 -75.1732 3 1 0.00324285
771 -78.8413 2 6 0.595996
841 -76.8185 1 1 0.00317321
4467 -79.8692 1 4 0.595996
4628 -73.9345 1 2 0.00317321
71 -76.8794 0 3 4.16391
141 -77.0279 1 4 3.42793
281 -77.9559 0 4 4.57718
491 -75.1732 3 1 0.00301216
771 -78.8413 1 6 0.602964
841 -76.8185 1 1 0.00302134
4467 -79.8692 1 4 0.602964
4628 -73.9345 1 2 0.00302134
71 -76.8794 2 3 4.20704
141 -77.0279 1 4 3.41987
281 -77.9559 0 4 4.63877
491 -75.1732 3 1 0.002896
771 -78.8413 2 6 0.613575
841 -76.8185 2 1 0.00288951
4467 -79.8692 1 4 0.613575
4628 -73.9345 1 2 0.00288951
71 -76.8794 2 3 4.21884
141 -77.0279 2 4 3.44658
281 -77.9559 0 4 4.63203
491 -75.1732 3 1 0.00277767
771 -78.8413 2 6 0.61827
841 -76.8185 1 1 0.00278485
4467 -79.8692 1 4 0.61827
4628 -73.9345 1 2 0.00278485
71 -76.8794 1 3 4.15525
141 -77.0279 2 4 3.52679
281 -77.9559 0 4 4.56889
491 -75.1732 2 1 0.0027028
771 -78.8413 1 6 0.648986
841 -76.8185 2 1 0.00264833
4467 -79.8692 1 4 0.648986
4628 -73.9345 1 2 0.00264833
71 -76.8794 1 3 4.25498
141 -77.0279 1 4 3.50998
281 -77.9559 0 4 4.66477
491 -75.1732 0 1 0.00256881
771 -78.8413 1 6 0.634687
841 -76.8185 1 1 0.00258533
4467 -79.8692 0 4 0.634687
4628 -73.9345 0 2 0.00258533
71 -76.8794 2 3 4.34506
141 -77.0279 2 4 3.43815
281 -77.9559 0 4 4.78387
491 -75.1732 4 1 0.00247776
771 -78.8413 2 6 0.614838
841 -76.8185 2 1 0.00249052
4467 -79.8692 0 4 0.614838
4628 -73.9345 1 2 0.00249052
71 -76.8794 2 3 4.34031
141 -77.0279 1 4 3.47989
281 -77.9559 0 4 4.75358
491 -75.1732 3 1 0.00238899
771 -78.8413 2 6 0.614475
841 -76.8185 2 1 0.00237545
4467 -79.8692 1 4 0.614475
4628 -73.9345 1 2 0.00237545
71 -76.8794 2 3 4.39981
141 -77.0279 2 4 3.45369
281 -77.9559 0 4 4.80092
491 -75.1732 3 1 0.00231069
771 -78.8413 2 6 0.611291
841 -76.8185 1 1 0.00232439
4467 -79.8692 0 4 0.611291
4628 -73.9345 1 2 0.00232439
71 -76.8794 2 3 4.39101
141 -77.0279 2 4 3.50135
281 -77.9559 0 4 4.76471
491 -75.1732 4 1 0.00222352
771 -78.8413 2 6 0.614268
841 -76.8185 2 1 0.00221432
4467 -79.8692 1 4 0.614268
4628 -73.9345 1 2 0.00221432
71 -76.8794 2 3 4.37808
141 -77.0279 2 4 3.49151
281 -77.9559 0 4 4.75841
491 -75.1732 4 1 0.00217539
771 -78.8413 2 6 0.632712
841 -76.8185 2 1 0.0021497
4467 -79.8692 0 4 0.632712
4628 -73.9345 0 2 0.0021497
71 -76.8794 2 3 4.36227
141 -77.0279 2 4 3.52289
281 -77.9559 0 4 4.62413
491 -75.1732 4 1 0.00210694
771 -78.8413 2 6 0.636542
841 -76.8185 2 1 0.00206972
4467 -79.8692 1 4 0.636542
4628 -73.9345 1 2 0.00206972
71 -76.8794 1 3 4.34895
141 -77.0279 2 4 3.5542
281 -77.9559 0 4 4.61718
491 -75.1732 2 1 0.00201298
771 -78.8413 2 6 0.641579
841 -76.8185 1 1 0.00201247
4467 -79.8692 0 4 0.641579
4628 -73.9345 1 2 0.00201247
71 -76.8794 2 3 4.33809
141 -77.0279 2 4 3.59342
281 -77.9559 0 4 4.6434
491 -75.1732 3 1 0.00195445
771 -78.8413 2 6 0.63557
841 -76.8185 1 1 0.00196781
4467 -79.8692 1 4 0.63557
4628 -73.9345 1 2 0.00196781
71 -76.8794 2 3 4.29213
141 -77.0279 2 4 3.63522
281 -77.9559 0 4 4.6005
491 -75.1732 3 1 0.0018928
771 -78.8413 2 6 0.635901
841 -76.8185 1 1 0.00191366
4467 -79.8692 1 4 0.635901
4628 -73.9345 1 2 0.00191366
71 -76.8794 2 3 4.29465
141 -77.0279 2 4 3.60736
281 -77.9559 0 4 4.63255
491 -75.1732 3 1 0.00185192
771 -78.8413 2 6 0.654562
841 -76.8185 1 1 0.00184133
4467 -79.8692 1 4 0.654562
4628 -73.9345 1 2 0.00184133
71 -76.8794 2 3 4.31513
141 -77.0279 2 4 3.5862
281 -77.9559 0 4 4.60877
491 -75.1732 3 1 0.00182076
771 -78.8413 2 6 0.645443
841 -76.8185 1 1 0.00180655
4467 -79.8692 1 4 0.645443
4628 -73.9345 1 2 0.00180655
71 -76.8794 2 3 4.29154
141 -77.0279 2 4 3.59793
281 -77.9559 0 4 4.60318
491 -75.1732 3 1 0.00176513
771 -78.8413 1 6 0.653964
841 -76.8185 2 1 0.00174541
4467 -79.8692 1 4 0.653964
4628 -73.9345 1 2 0.00174541
71 -76.8794 1 3 4.273
141 -77.0279 1 4 3.64804
281 -77.9559 0 4 4.59417
491 -75.1732 3 1 0.00170171
771 -78.8413 1 6 0.651585
841 -76.8185 1 1 0.00170409
4467 -79.8692 0 4 0.651585
4628 -73.9345 1 2 0.00170409
71 -76.8794 2 3 4.29083
141 -77.0279 2 4 3.61469
281 -77.9559 0 4 4.5931
491 -75.1732 3 1 0.00165815
771 -78.8413 2 6 0.661139
841 -76.8185 1 1 0.0016835
4467 -79.8692 0 4 0.661139
4628 -73.9345 1 2 0.0016835
71 -76.8794 2 3 4.22244
141 -77.0279 2 4 3.70355
281 -77.9559 0 4 4.52643
491 -75.1732 2 1 0.00162169
771 -78.8413 1 6 0.654027
841 -76.8185 1 1 0.00162748
4467 -79.8692 1 4 0.654027
4628 -73.9345 1 2 0.00162748
71 -76.8794 2 3 4.2327
141 -77.0279 2 4 3.70876
281 -77.9559 0 4 4.50485
491 -75.1732 3 1 0.00158708
771 -78.8413 2 6 0.653127
841 -76.8185 1 1 0.00157783
4467 -79.8692 1 4 0.653127
4628 -73.9345 1 2 0.00157783
71 -76.8794 2 3 4.22965
141 -77.0279 1 4 3.69364
281 -77.9559 0 4 4.51139
491 -75.1732 3 1 0.00154488
771 -78.8413 2 6 0.656801
841 -76.8185 2 1 0.00155308
4467 -79.8692 1 4 0.656801
4628 -73.9345 0 2 0.00155308
71 -76.8794 2 3 4.18302
141 -77.0279 2 4 3.77319
281 -77.9559 0 4 4.45941
491 -75.1732 3 1 0.00151445
771 -78.8413 2 6 0.65498
841 -76.8185 1 1 0.00151222
4467 -79.8692 0 4 0.65498
4628 -73.9345 1 2 0.00151222
71 -76.8794 2 3 4.1897
141 -77.0279 2 4 3.78129
281 -77.9559 0 4 4.46019
491 -75.1732 3 1 0.00148929
771 -78.8413 2 6 0.650512
