ID  RSSI  Neighbors  Sources  Throughput
711 0 2 -1 0
781 0 3 -1 0
851 -70.4426 2 0 0
1649 -83.5946 3 0 0
1810 -70.7045 4 0 0
1971 -76.5574 3 0 0
2132 -70.9715 2 0 0
2293 -82.0243 3 1 0
2454 -77.2951 2 1 0
711 -77.625 2 1 0
781 -76.1378 3 1 0
851 -70.4426 2 0 0
1649 -77.289 3 1 0
1810 -70.7045 4 0 0
1971 -77.4291 3 3 0
2132 -78.9486 2 2 0
2293 -79.2026 3 3 0
2454 -77.2951 2 1 0
711 -77.625 2 1 1.13398
781 -76.1378 3 1 0.0224121
851 -70.4426 2 0 0
1649 -77.289 3 1 0
1810 -70.7045 4 0 0
1971 -77.4291 3 3 2.64029
2132 -78.9486 2 2 0.0450305
2293 -79.2026 3 3 0.0785988
2454 -77.2951 2 1 0.0222156
711 -77.625 2 1 0.785781
781 -76.1378 3 1 0.01669
851 -70.4426 2 0 0
1649 -77.289 3 1 0
1810 -70.7045 4 0 0
1971 -77.4291 3 3 2.34612
2132 -78.9486 2 2 0.0331488
2293 -79.2026 3 3 0.0560623
2454 -77.2951 2 1 0.0176712
711 -77.625 1 1 1.46257
781 -76.1378 1 1 0.0280641
1971 -78.6123 0 4 2.22943
2132 -80.108 1 3 0.0289614
2293 -79.2026 1 3 0.0407745
711 -77.625 1 1 1.2497
781 -76.1378 1 1 0.0239179
1971 -78.6123 0 4 1.925
2132 -80.108 1 3 0.0241713
2293 -79.2026 1 3 0.0353456
711 -77.625 1 1 1.4475
781 -76.1378 1 1 0.0209045
1971 -78.6123 0 4 1.57199
2132 -80.108 1 3 0.0200837
2293 -79.2026 1 3 0.0284251
711 -77.625 1 1 1.26845
781 -76.1378 1 1 0.0171743
1971 -78.6123 0 4 1.46243
2132 -80.108 1 3 0.0165858
2293 -79.2026 1 3 0.0267724
711 -77.625 1 1 1.33878
781 -76.1378 1 1 0.0147165
1971 -78.6123 0 4 2.04848
2132 -80.108 1 3 0.015572
