ID  RSSI  Neighbors  Sources  Throughput
711 0 2 -1 0
781 0 3 -1 0
851 -70.4426 2 0 0
1649 -83.5946 3 0 0
1810 -70.7045 4 0 0
1971 -76.5574 3 0 0
2132 -70.9715 2 0 0
2293 -82.0243 3 1 0
2454 -77.2951 2 1 0
711 -77.625 2 1 0
781 -76.1378 3 1 0
851 -70.4426 2 0 0
1649 -77.289 3 1 0
1810 -70.7045 4 0 0
1971 -77.4291 3 3 0
2132 -78.9486 2 2 0
2293 -79.2026 3 3 0
2454 -77.2951 2 1 0
711 -77.625 2 1 0.0236255
781 -76.1378 3 1 0
851 -70.4426 2 0 0
1649 -77.289 3 1 0.0221785
1810 -70.7045 4 0 0
1971 -77.4291 3 3 0.139308
2132 -78.9486 2 2 0.268874
2293 -79.2026 3 3 0.0712047
2454 -77.2951 2 1 0.0232308
711 -77.625 2 1 0.0170736
781 -76.1378 3 1 0
851 -70.4426 2 0 0
1649 -77.289 3 1 0.0174258
1810 -70.7045 4 0 0
1971 -77.4291 3 3 0.105886
2132 -78.9486 2 2 0.199128
2293 -79.2026 3 3 0.0499574
2454 -77.2951 2 1 0.016596
711 -76.5883 0 2 0.0665987
1971 -77.4291 1 3 0.185438
2132 -80.108 1 3 0.251998
2293 -79.2026 2 3 0.0434605
2454 -77.2951 2 1 0.0152995
711 -76.5883 0 2 0.057655
1971 -77.4291 1 3 0.155123
2132 -80.108 1 3 0.209491
2293 -79.2026 2 3 0.03512
2454 -77.2951 2 1 0.0111672
711 -76.5883 0 2 0.0953837
1971 -77.4291 1 3 0.169587
2132 -80.108 1 3 0.22273
2293 -79.2026 2 3 0.028654
2454 -77.2951 2 1 0.00995643
711 -76.5883 0 2 0.0885438
1971 -77.4291 1 3 0.142971
2132 -80.108 1 3 0.195183
2293 -79.2026 2 3 0.0259559
2454 -77.2951 2 1 0.0084528
711 -76.5883 0 2 0.110897
1971 -77.4291 1 3 0.161717
2132 -80.108 1 3 0.221047
2293 -79.2026 2 3 0.0228753
