,PacketsSent,PacketsSentFLC,PacketsSentRO,PacketsReceived,PacketsReceivedFLC,PacketsReceivedRO,PacketsLost(%),PacketsLostFLC(%),PacketsLostRO(%),Jitter,JitterFLC,JitterRO,Latency,LatencyFLC,LatencyRO,PowerConsumed(W),PowerConsumedFLC(W),PowerConsumedRO(W)
T1,1259.0,1313.0,1275.0,1246.0,1294.0,1063.0,1.0325655281969817,1.4470677837014472,16.627450980392158,0.0087160579009203,0.00970615685309032,0.008140199081720674,0.018944763346789628,0.0159676011529635,0.019040492516307,4.5528828577216665,2.548258494088168,2.5667580117075888
T2,1757.0,1691.0,1767.0,1737.0,1260.0,1729.0,1.1383039271485487,25.487876995860436,2.150537634408602,0.008996726487303387,0.00846365263623214,0.009468636761134425,0.018275441180157503,0.02165182287421193,0.025117724711085334,4.560775598341001,2.5473030864776245,2.5783028490076654
T3,4251.0,4215.0,4079.0,4064.0,3356.0,3915.0,4.398964949423665,20.37959667852906,4.0205932826673205,0.011504393035793328,0.00664712641793835,0.008179422769082725,0.03110729344751962,0.029339827626621334,0.02594987802356517,4.604430706248332,2.5756912057747057,2.60654596010304
T4,4878.0,5220.0,4991.0,4685.0,5012.0,4749.0,3.956539565395654,3.9846743295019156,4.84872770987778,0.010311828106860326,0.010477109279048026,0.007276957722756934,0.025103025361445624,0.03803180104159717,0.0360839892749434,4.612110164868958,2.5846666177066178,2.6105953608670385
T5,13278.0,12741.0,12713.0,12695.0,11993.0,12141.0,4.390721494200934,5.870810768385527,4.49933139306222,0.013594221535085157,0.0143948896653391,0.022328928845675017,0.05759081986428488,0.06383904524900821,0.056214116774635496,4.752675702554295,2.658308516027834,2.685760114859628
T6,20016.0,20715.0,17506.0,18490.0,19104.0,16306.0,7.623900879296563,7.77697320782042,6.854792642522564,0.014255358316924316,0.011632270071511625,0.01377223252782385,0.0707714285053685,0.08060060710323501,0.06297827581850769,4.852606702415127,2.737927972087376,2.7261480544265018
T7,53428.0,51423.0,49889.0,51025.0,49189.0,47625.0,4.497641686007337,4.344359527837738,4.538074525446492,0.020723146209175005,0.016329405060830998,0.00835375248241575,0.19798577928623387,0.2049374129422,0.19621122420183668,5.412507996531834,3.0647085609701663,3.166799552818164
T8,40284.0,41029.0,39464.0,38925.0,39956.0,38244.0,3.3735478105451295,2.6152233785858785,3.09142509629029,0.05404912429742785,0.02354871856791714,0.11937889854349513,0.1175100566536467,0.12765926624955898,0.1488619675175655,5.064627939858,2.896074261714375,2.924826270081629
T9,80881.0,77393.0,76292.0,73232.0,72284.0,70311.0,9.457103646097353,6.60137221712558,7.839616211398312,0.07683921025907554,0.01431992904489875,0.45079873505645973,0.35914218523695407,0.3660386615371815,0.6503670183133301,5.8379306167500395,3.3288632882195923,3.3770967394942053
T10,66841.0,68870.0,62362.0,62439.0,65042.0,58904.0,6.585778190033063,5.558298243066647,5.545043455950739,0.0425145590093873,0.020365302621565,0.006102137404873649,0.16344144585282125,0.21012111764110167,0.19596984123430777,5.3900966054861215,3.0781550125583785,3.1748880635801244
