ID  RSSI  Neighbors  Sources  Throughput
239 -84.3388 1 0 0
491 0 2 -1 0
561 0 1 -1 0
239 -77.2215 1 2 0
491 -77.1832 2 1 0
561 -79.5042 1 4 0
239 -77.2215 1 2 0.0944809
491 -77.1832 2 1 0.0224265
561 -79.5042 1 4 0.102369
239 -77.2215 1 2 0.0688365
491 -77.1832 2 1 0.017453
561 -79.5042 1 4 0.0762636
239 -78.3201 0 3 0.0671975
561 -79.5042 0 4 0.055715
239 -78.3201 0 3 0.0560169
561 -79.5042 0 4 0.0442706
239 -78.3201 0 3 0.0804709
561 -79.5042 0 4 0.0697829
239 -78.3201 0 3 0.0670286
561 -79.5042 0 4 0.0629604
239 -78.3201 0 3 0.0642025
561 -79.5042 0 4 0.0521981
239 -78.3201 0 3 0.0555291
561 -79.5042 0 4 0.0471616
239 -78.3201 0 3 0.0932595
561 -79.5042 0 4 0.0566662
239 -78.3201 0 3 0.0849196
561 -79.5042 0 4 0.0526397
239 -78.3201 0 3 0.0837082
561 -79.5042 0 4 0.0612401
239 -78.3201 0 3 0.0757278
561 -79.5042 0 4 0.0587743
239 -78.3201 0 3 0.0817475
561 -79.5042 0 4 0.0580409
239 -78.3201 0 3 0.0761327
561 -79.5042 0 4 0.0550733
239 -78.3201 0 3 0.0790433
561 -79.5042 0 4 0.0509471
239 -78.3201 0 3 0.0751463
561 -79.5042 0 4 0.0487864
239 -78.3201 0 3 0.0708568
561 -79.5042 0 4 0.0533734
239 -78.3201 0 3 0.0662222
561 -79.5042 0 4 0.0512277
239 -78.3201 0 3 0.0762958
561 -79.5042 0 4 0.0799712
239 -78.3201 0 3 0.0748503
561 -79.5042 0 4 0.0759049
239 -78.3201 0 3 0.0781474
561 -79.5042 0 4 0.0724127
239 -78.3201 0 3 0.0747294
561 -79.5042 0 4 0.0704847
239 -78.3201 0 3 0.078709
561 -79.5042 0 4 0.0789767
239 -78.3201 0 3 0.0739064
561 -79.5042 0 4 0.0749705
239 -78.3201 0 3 0.0718077
561 -79.5042 0 4 0.071831
239 -78.3201 0 3 0.0689809
561 -79.5042 0 4 0.0686486
239 -78.3201 0 3 0.0694875
561 -79.5042 0 4 0.074063
239 -78.3201 0 3 0.0669703
561 -79.5042 0 4 0.0722224
239 -78.3201 0 3 0.0687809
561 -79.5042 0 4 0.0841285
239 -78.3201 0 3 0.0662082
561 -79.5042 0 4 0.081262
239 -78.3201 0 3 0.0764726
561 -79.5042 0 4 0.0863729
239 -78.3201 0 3 0.0744905
561 -79.5042 0 4 0.0847036
239 -78.3201 0 3 0.0748857
561 -79.5042 0 4 0.0872611
239 -78.3201 0 3 0.0732237
561 -79.5042 0 4 0.0851063
239 -78.3201 0 3 0.0743262
561 -79.5042 0 4 0.0833678
239 -78.3201 0 3 0.0716304
561 -79.5042 0 4 0.0813341
239 -78.3201 0 3 0.0702075
561 -79.5042 0 4 0.0799694
239 -78.3201 0 3 0.069197
561 -79.5042 0 4 0.0781074
239 -78.3201 0 3 0.0766522
561 -79.5042 0 4 0.0793081
239 -78.3201 0 3 0.0752403
561 -79.5042 0 4 0.0773225
239 -78.3201 0 3 0.074539
561 -79.5042 0 4 0.0774557
239 -78.3201 0 3 0.0732354
561 -79.5042 0 4 0.0753251
239 -78.3201 0 3 0.0722796
561 -79.5042 0 4 0.0845571
239 -78.3201 0 3 0.0707477
561 -79.5042 0 4 0.082231
239 -78.3201 0 3 0.070654
561 -79.5042 0 4 0.080514
239 -78.3201 0 3 0.0695899
561 -79.5042 0 4 0.0794254
239 -78.3201 0 3 0.0697262
561 -79.5042 0 4 0.0815037
239 -78.3201 0 3 0.0675502
561 -79.5042 0 4 0.0801534
239 -78.3201 0 3 0.0677207
561 -79.5042 0 4 0.0808981
239 -78.3201 0 3 0.0668161
561 -79.5042 0 4 0.0796545
239 -78.3201 0 3 0.0649537
561 -79.5042 0 4 0.0803032
239 -78.3201 0 3 0.0642799
561 -79.5042 0 4 0.0786518
239 -78.3201 0 3 0.0639725
561 -79.5042 0 4 0.0817606
239 -78.3201 0 3 0.0632619
561 -79.5042 0 4 0.0796776
239 -78.3201 0 3 0.0654215
561 -79.5042 0 4 0.0814412
239 -78.3201 0 3 0.0647187
561 -79.5042 0 4 0.0808165
239 -78.3201 0 3 0.0640761
561 -79.5042 0 4 0.0839211
239 -78.3201 0 3 0.0634841
561 -79.5042 0 4 0.0819451
239 -78.3201 0 3 0.0631756
561 -79.5042 0 4 0.0833215
239 -78.3201 0 3 0.0621071
561 -79.5042 0 4 0.0813624
239 -78.3201 0 3 0.0609897
561 -79.5042 0 4 0.0805348
239 -78.3201 0 3 0.0602756
561 -79.5042 0 4 0.0788868
239 -78.3201 0 3 0.0594553
561 -79.5042 0 4 0.0788212
239 -78.3201 0 3 0.0586247
561 -79.5042 0 4 0.0773608
239 -78.3201 0 3 0.0582969
561 -79.5042 0 4 0.0794946
239 -78.3201 0 3 0.0576009
561 -79.5042 0 4 0.078196
239 -78.3201 0 3 0.056976
561 -79.5042 0 4 0.0778151
239 -78.3201 0 3 0.0560268
561 -79.5042 0 4 0.0771247
239 -78.3201 0 3 0.0563742
561 -79.5042 0 4 0.0774532
239 -78.3201 0 3 0.0554999
561 -79.5042 0 4 0.0763165
239 -78.3201 0 3 0.054776
561 -79.5042 0 4 0.0756612
239 -78.3201 0 3 0.054064
561 -79.5042 0 4 0.0743337
239 -78.3201 0 3 0.0549804
561 -79.5042 0 4 0.0735452
