ID  RSSI  Neighbors  Sources  Throughput
711 0 2 -1 0
781 0 3 -1 0
851 -70.4426 2 0 0
1649 -83.5946 3 0 0
1810 -70.7045 4 0 0
1971 -76.5574 3 0 0
2132 -70.9715 2 0 0
2293 -82.0243 3 1 0
2454 -77.2951 2 1 0
711 -77.625 2 1 0
781 -76.1378 3 1 0
851 -70.4426 2 0 0
1649 -77.289 3 1 0
1810 -70.7045 4 0 0
1971 -77.4291 3 3 0
2132 -78.9486 2 2 0
2293 -79.2026 3 3 0
2454 -77.2951 2 1 0
711 -77.625 2 1 0.0806673
781 -76.1378 3 1 0.022728
851 -70.4426 2 0 0
1649 -77.289 3 1 0.0717416
1810 -70.7045 4 0 0
1971 -77.4291 3 3 0.198419
2132 -78.9486 2 2 0.188623
2293 -79.2026 3 3 0.0523992
2454 -77.2951 2 1 0.029097
711 -77.625 2 1 0.165582
781 -76.1378 3 1 0.0181303
851 -70.4426 2 0 0
1649 -77.289 3 1 0.168817
1810 -70.7045 4 0 0
1971 -77.4291 3 3 0.332715
2132 -78.9486 2 2 0.350345
2293 -79.2026 3 3 0.033143
2454 -77.2951 2 1 0.0167181
711 -76.5639 1 2 0.203195
1649 -77.289 2 1 0.188959
1971 -77.4291 0 3 0.403003
2132 -78.9486 2 2 0.41352
2293 -78.8596 1 4 0.0296087
711 -76.5639 1 2 0.221073
1649 -77.289 2 1 0.227402
1971 -77.4291 0 3 0.456746
2132 -78.9486 2 2 0.457651
2293 -78.8596 1 4 0.0234541
711 -76.5639 1 2 0.257059
1649 -77.289 2 1 0.232582
1971 -77.4291 0 3 0.498026
2132 -78.9486 2 2 0.509045
2293 -78.8596 1 4 0.020396
711 -76.5639 1 2 0.26537
1649 -77.289 2 1 0.237603
1971 -77.4291 0 3 0.526809
2132 -78.9486 2 2 0.526588
2293 -78.8596 1 4 0.0177664
711 -76.5639 1 2 0.278295
1649 -77.289 2 1 0.249424
1971 -77.4291 0 3 0.558828
2132 -78.9486 2 2 0.542543
