ID  RSSI  Neighbors  Sources  Throughput
239 0 1 -1 0
855 0 2 -1 0
1016 -72.7895 1 0 0
239 -78.7466 1 1 0
855 -79.0532 2 2 0
1016 -79.9471 1 4 0
239 -78.7466 1 1 0.636382
855 -79.0532 2 2 0.275528
1016 -79.9471 1 4 1.47971
239 -78.7466 1 1 0.469055
855 -79.0532 2 2 0.209397
1016 -79.9471 1 4 1.22377
239 -79.0268 0 3 0.697933
1016 -79.9471 0 4 1.10326
239 -79.0268 0 3 0.581656
1016 -79.9471 0 4 0.959107
239 -79.0268 0 3 0.501183
1016 -79.9471 0 4 1.73413
239 -79.0268 0 3 0.437131
1016 -79.9471 0 4 1.50302
239 -79.0268 0 3 0.709976
1016 -79.9471 0 4 1.38739
239 -79.0268 0 3 0.613742
1016 -79.9471 0 4 1.24396
239 -79.0268 0 3 0.965232
1016 -79.9471 0 4 1.19682
239 -79.0268 0 3 0.91322
1016 -79.9471 0 4 1.08656
239 -79.0268 0 3 1.19232
1016 -79.9471 0 4 1.28521
239 -79.0268 0 3 1.07653
1016 -79.9471 0 4 1.18403
239 -79.0268 0 3 1.31745
1016 -79.9471 0 4 1.65328
239 -79.0268 0 3 1.25438
1016 -79.9471 0 4 1.50872
239 -79.0268 0 3 1.25281
1016 -79.9471 0 4 1.67277
239 -79.0268 0 3 1.16988
1016 -79.9471 0 4 1.5301
239 -79.0268 0 3 1.15953
1016 -79.9471 0 4 1.64675
239 -79.0268 0 3 1.10989
1016 -79.9471 0 4 1.55038
239 -79.0268 0 3 1.23421
1016 -79.9471 0 4 1.57853
239 -79.0268 0 3 1.19039
1016 -79.9471 0 4 1.51232
239 -79.0268 0 3 1.16658
1016 -79.9471 0 4 1.49957
239 -79.0268 0 3 1.09886
1016 -79.9471 0 4 1.43619
239 -79.0268 0 3 1.28796
1016 -79.9471 0 4 1.43362
239 -79.0268 0 3 1.24864
1016 -79.9471 0 4 1.4109
239 -79.0268 0 3 1.326
1016 -79.9471 0 4 1.4195
239 -79.0268 0 3 1.26029
1016 -79.9471 0 4 1.35487
239 -79.0268 0 3 1.32357
1016 -79.9471 0 4 1.3677
239 -79.0268 0 3 1.29202
1016 -79.9471 0 4 1.32183
239 -79.0268 0 3 1.37504
1016 -79.9471 0 4 1.46404
239 -79.0268 0 3 1.33094
1016 -79.9471 0 4 1.42512
239 -79.0268 0 3 1.47167
1016 -79.9471 0 4 1.46014
239 -79.0268 0 3 1.42302
1016 -79.9471 0 4 1.4121
239 -79.0268 0 3 1.55951
1016 -79.9471 0 4 1.53707
239 -79.0268 0 3 1.50027
1016 -79.9471 0 4 1.50936
239 -79.0268 0 3 1.55445
1016 -79.9471 0 4 1.49248
239 -79.0268 0 3 1.4922
1016 -79.9471 0 4 1.4399
239 -79.0268 0 3 1.53322
1016 -79.9471 0 4 1.47962
239 -79.0268 0 3 1.50171
1016 -79.9471 0 4 1.42662
239 -79.0268 0 3 1.50993
1016 -79.9471 0 4 1.46983
239 -79.0268 0 3 1.46264
1016 -79.9471 0 4 1.45149
239 -79.0268 0 3 1.50287
1016 -79.9471 0 4 1.44324
239 -79.0268 0 3 1.4578
1016 -79.9471 0 4 1.42708
239 -79.0268 0 3 1.42705
1016 -79.9471 0 4 1.49534
239 -79.0268 0 3 1.41168
1016 -79.9471 0 4 1.48592
239 -79.0268 0 3 1.38301
1016 -79.9471 0 4 1.46925
239 -79.0268 0 3 1.35882
1016 -79.9471 0 4 1.44261
239 -79.0268 0 3 1.39914
1016 -79.9471 0 4 1.43948
239 -79.0268 0 3 1.36897
1016 -79.9471 0 4 1.43125
239 -79.0268 0 3 1.35592
1016 -79.9471 0 4 1.42801
239 -79.0268 0 3 1.34186
1016 -79.9471 0 4 1.3968
239 -79.0268 0 3 1.46659
1016 -79.9471 0 4 1.46786
239 -79.0268 0 3 1.43265
1016 -79.9471 0 4 1.44159
239 -79.0268 0 3 1.46142
1016 -79.9471 0 4 1.43468
239 -79.0268 0 3 1.44838
1016 -79.9471 0 4 1.41054
239 -79.0268 0 3 1.49242
1016 -79.9471 0 4 1.41831
239 -79.0268 0 3 1.46411
1016 -79.9471 0 4 1.39451
239 -79.0268 0 3 1.57596
1016 -79.9471 0 4 1.39068
239 -79.0268 0 3 1.5481
1016 -79.9471 0 4 1.37166
239 -79.0268 0 3 1.56764
1016 -79.9471 0 4 1.38815
239 -79.0268 0 3 1.53936
1016 -79.9471 0 4 1.3677
239 -79.0268 0 3 1.68029
1016 -79.9471 0 4 1.3662
239 -79.0268 0 3 1.66644
1016 -79.9471 0 4 1.3362
239 -79.0268 0 3 1.72757
1016 -79.9471 0 4 1.57625
239 -79.0268 0 3 1.70477
1016 -79.9471 0 4 1.55157
239 -79.0268 0 3 1.72994
1016 -79.9471 0 4 1.56481
239 -79.0268 0 3 1.70267
1016 -79.9471 0 4 1.54641
239 -79.0268 0 3 1.70498
1016 -79.9471 0 4 1.59395
239 -79.0268 0 3 1.68174
1016 -79.9471 0 4 1.56896
239 -79.0268 0 3 1.70875
1016 -79.9471 0 4 1.57833
239 -79.0268 0 3 1.68681
1016 -79.9471 0 4 1.55471
239 -79.0268 0 3 1.69637
1016 -79.9471 0 4 1.5682
239 -79.0268 0 3 1.67653
1016 -79.9471 0 4 1.55055
239 -79.0268 0 3 1.78292
1016 -79.9471 0 4 1.56177
239 -79.0268 0 3 1.75141
1016 -79.9471 0 4 1.53801
239 -79.0268 0 3 1.73739
1016 -79.9471 0 4 1.54951
239 -79.0268 0 3 1.72137
1016 -79.9471 0 4 1.52125
239 -79.0268 0 3 1.75509
1016 -79.9471 0 4 1.55904
239 -79.0268 0 3 1.73771
1016 -79.9471 0 4 1.54857
239 -79.0268 0 3 1.73045
1016 -79.9471 0 4 1.54649
239 -79.0268 0 3 1.70595
1016 -79.9471 0 4 1.53528
239 -79.0268 0 3 1.75553
1016 -79.9471 0 4 1.5194
239 -79.0268 0 3 1.73505
1016 -79.9471 0 4 1.49295
239 -79.0268 0 3 1.7435
1016 -79.9471 0 4 1.5643
239 -79.0268 0 3 1.71795
1016 -79.9471 0 4 1.53815
239 -79.0268 0 3 1.8293
1016 -79.9471 0 4 1.54253
239 -79.0268 0 3 1.80146
1016 -79.9471 0 4 1.5224
239 -79.0268 0 3 1.81051
1016 -79.9471 0 4 1.53061
239 -79.0268 0 3 1.79078
1016 -79.9471 0 4 1.511
239 -79.0268 0 3 1.83026
1016 -79.9471 0 4 1.50898
239 -79.0268 0 3 1.80689
1016 -79.9471 0 4 1.48938
239 -79.0268 0 3 1.8643
1016 -79.9471 0 4 1.49886
239 -79.0268 0 3 1.84926
1016 -79.9471 0 4 1.48439
239 -79.0268 0 3 1.85432
1016 -79.9471 0 4 1.49112
239 -79.0268 0 3 1.83822
1016 -79.9471 0 4 1.47697
239 -79.0268 0 3 1.83305
1016 -79.9471 0 4 1.49379
239 -79.0268 0 3 1.80975
1016 -79.9471 0 4 1.46837
239 -79.0268 0 3 1.83551
1016 -79.9471 0 4 1.5409
239 -79.0268 0 3 1.81929
1016 -79.9471 0 4 1.53176
239 -79.0268 0 3 1.83608
1016 -79.9471 0 4 1.55532
239 -79.0268 0 3 1.81522
1016 -79.9471 0 4 1.54136
239 -79.0268 0 3 1.86191
1016 -79.9471 0 4 1.53599
239 -79.0268 0 3 1.84632
1016 -79.9471 0 4 1.51517
239 -79.0268 0 3 1.89732
1016 -79.9471 0 4 1.51173
239 -79.0268 0 3 1.88347
1016 -79.9471 0 4 1.50145
239 -79.0268 0 3 1.92724
1016 -79.9471 0 4 1.53011
239 -79.0268 0 3 1.90161
1016 -79.9471 0 4 1.51029
239 -79.0268 0 3 1.91848
1016 -79.9471 0 4 1.49811
239 -79.0268 0 3 1.89914
1016 -79.9471 0 4 1.48417
239 -79.0268 0 3 1.9018
1016 -79.9471 0 4 1.49258
239 -79.0268 0 3 1.88223
1016 -79.9471 0 4 1.48409
239 -79.0268 0 3 1.91837
1016 -79.9471 0 4 1.49161
239 -79.0268 0 3 1.89202
1016 -79.9471 0 4 1.47855
239 -79.0268 0 3 1.94356
1016 -79.9471 0 4 1.48742
239 -79.0268 0 3 1.92779
1016 -79.9471 0 4 1.47371
239 -79.0268 0 3 1.93305
1016 -79.9471 0 4 1.47195
239 -79.0268 0 3 1.92052
1016 -79.9471 0 4 1.46191
239 -79.0268 0 3 1.93052
1016 -79.9471 0 4 1.47061
239 -79.0268 0 3 1.90754
1016 -79.9471 0 4 1.4568
239 -79.0268 0 3 1.94808
1016 -79.9471 0 4 1.47097
239 -79.0268 0 3 1.92909
1016 -79.9471 0 4 1.45819
239 -79.0268 0 3 1.94366
1016 -79.9471 0 4 1.47982
239 -79.0268 0 3 1.92458
1016 -79.9471 0 4 1.46897
239 -79.0268 0 3 1.93717
1016 -79.9471 0 4 1.49225
239 -79.0268 0 3 1.91738
1016 -79.9471 0 4 1.48169
239 -79.0268 0 3 1.91051
1016 -79.9471 0 4 1.53115
239 -79.0268 0 3 1.89393
1016 -79.9471 0 4 1.51283
239 -79.0268 0 3 1.92635
1016 -79.9471 0 4 1.52735
239 -79.0268 0 3 1.90972
1016 -79.9471 0 4 1.51819
239 -79.0268 0 3 1.9393
1016 -79.9471 0 4 1.52347
239 -79.0268 0 3 1.9309
1016 -79.9471 0 4 1.50815
239 -79.0268 0 3 1.97078
1016 -79.9471 0 4 1.51701
239 -79.0268 0 3 1.95966
1016 -79.9471 0 4 1.50767
239 -79.0268 0 3 1.97726
1016 -79.9471 0 4 1.5085
239 -79.0268 0 3 1.96439
1016 -79.9471 0 4 1.49744
239 -79.0268 0 3 1.98849
1016 -79.9471 0 4 1.51175
239 -79.0268 0 3 1.979
1016 -79.9471 0 4 1.49987
239 -79.0268 0 3 1.97515
1016 -79.9471 0 4 1.5239
