ID  RSSI  Neighbors  Sources  Throughput
711 0 2 -1 0
781 0 3 -1 0
851 -70.4426 2 0 0
1649 -83.5946 3 0 0
1810 -70.7045 4 0 0
1971 -76.5574 3 0 0
2132 -70.9715 2 0 0
2293 -82.0243 3 1 0
2454 -77.2951 2 1 0
711 -77.625 2 1 0
781 -76.1378 3 1 0
851 -70.4426 2 0 0
1649 -77.289 3 1 0
1810 -70.7045 4 0 0
1971 -77.4291 3 3 0
2132 -78.9486 2 2 0
2293 -79.2026 3 3 0
2454 -77.2951 2 1 0
711 -77.625 2 1 0
781 -76.1378 3 1 0.0251732
851 -70.4426 2 0 0
1649 -77.289 3 1 0.0536986
1810 -70.7045 4 0 0
1971 -77.4291 3 3 0.0670523
2132 -78.9486 2 2 0.0451158
2293 -79.2026 3 3 0.0692223
2454 -77.2951 2 1 0.0225143
711 -77.625 2 1 0
781 -76.1378 3 1 0.0190516
851 -70.4426 2 0 0
1649 -77.289 3 1 0.0365211
1810 -70.7045 4 0 0
1971 -77.4291 3 3 0.0507262
2132 -78.9486 2 2 0.0376219
2293 -79.2026 3 3 0.0507986
2454 -77.2951 2 1 0.0173197
781 -75.7291 0 2 0.0133401
1649 -77.289 1 1 0.0284165
1971 -77.4291 0 3 0.0571995
2132 -78.9486 2 2 0.0699012
2293 -78.8596 1 4 0.0404393
781 -75.7291 0 2 0.0120216
1649 -77.289 1 1 0.0245843
1971 -77.4291 0 3 0.0455318
2132 -78.9486 2 2 0.0575137
2293 -78.8596 1 4 0.0333416
781 -75.7291 0 2 0.0102137
1649 -77.289 1 1 0.0294468
1971 -77.4291 0 3 0.0609897
2132 -78.9486 2 2 0.0795676
2293 -78.8596 1 4 0.0289583
781 -75.7291 0 2 0.00835187
1649 -77.289 1 1 0.0249008
1971 -77.4291 0 3 0.0498098
2132 -78.9486 2 2 0.0671377
2293 -78.8596 1 4 0.0266562
781 -75.7291 0 2 0.0148629
1649 -77.289 1 1 0.0231612
1971 -77.4291 0 3 0.0614637
