,PacketsSent,PacketsSentFLC,PacketsSentRO,PacketsReceived,PacketsReceivedFLC,PacketsReceivedRO,PacketsLost(%),PacketsLostFLC(%),PacketsLostRO(%),Jitter,JitterFLC,JitterRO,Latency,LatencyFLC,LatencyRO,PowerConsumed(W),PowerConsumedFLC(W),PowerConsumedRO(W)
T1,1255.0,1261.0,1258.0,1249.0,1047.0,1246.0,0.47808764940239046,16.97065820777161,0.9538950715421304,0.007351061020881243,0.00684407907560564,0.008688487401057085,0.017685593241371013,0.02609506794084514,0.013324154474806072,4.559076799135039,2.5501697195417896,2.569796109223542
T2,1674.0,1677.0,1622.0,1659.0,1267.0,1612.0,0.8960573476702509,24.448419797257007,0.6165228113440198,0.009232866287856514,0.005833659258838,0.014080800227283967,0.015647086815213936,0.023203286142573,0.015139368121584099,4.570808021129123,2.554299469431332,2.57860225069788
T3,4279.0,4019.0,4033.0,4206.0,3939.0,3991.0,1.7060060761860247,1.9905449116695695,1.0414083808579222,0.012988175115516813,0.01029979439164165,0.011410989313555582,0.028853699428695503,0.04645509100648151,0.021809226460639142,4.626913195971,2.5869198672573703,2.612690953670123
T4,4728.0,4831.0,4684.0,4622.0,4724.0,4562.0,2.241962774957699,2.214862347340095,2.604611443210931,0.012967357495195555,0.01957793551695986,0.023509725521219837,0.031329120265626,0.051733778879054004,0.03516076387394957,4.6546959374855,2.613446815916374,2.6433626044867498
T5,13167.0,12962.0,12148.0,12710.0,12544.0,11829.0,3.4707982076403128,3.224810985958957,2.6259466578860717,0.01980822878037381,0.027426375095292298,0.01622881019665524,0.07412989110590462,0.103022675932068,0.06601022094767933,4.8842919779883385,2.7581816054297104,2.7532117725083785
T6,18596.0,19683.0,20368.0,17672.0,18817.0,19025.0,4.96881049688105,4.399735812630189,6.593676355066771,0.019081735418158326,0.008918110037954674,0.01013010188079452,0.07539624353243793,0.08720473449160082,0.0810100946562033,4.916684398014252,2.769724604112874,2.8430058603676645
T7,53428.0,51423.0,49889.0,51025.0,49189.0,47625.0,4.497641686007337,4.344359527837738,4.538074525446492,0.020723146209175005,0.016329405060830998,0.00835375248241575,0.19798577928623387,0.2049374129422,0.19621122420183668,5.412507996531834,3.0647085609701663,3.166799552818164
T8,42257.0,41539.0,38430.0,41058.0,40029.0,37065.0,2.8373997207563244,3.635138063025109,3.551912568306011,0.021539344529738845,0.021596094992986058,0.07697400805844329,0.09118042700875312,0.1093542352816645,0.11085605204916686,5.033029142485835,2.85802984260384,2.8682557870177487
T9,75631.0,77829.0,72622.0,72983.0,74396.0,70222.0,3.501209821369544,4.410952215755053,3.3047836743686485,0.08233912354005196,0.015263119210245521,0.04122722420340052,0.20177802109610687,0.22673107957627836,0.18341473804355288,5.504721599149919,3.2003372549898357,3.239883042140885
T10,64389.0,63485.0,62566.0,61034.0,60737.0,60929.0,5.210517324387706,4.32858155469796,2.616437042483138,0.025131164109425713,0.01751315721684104,0.01730321905220067,0.11995784073865465,0.14763742718822367,0.11066655377817157,5.236138019980414,2.9802567035576204,3.0075974398969567
