ID  RSSI  Neighbors  Sources  Throughput
711 0 2 -1 0
781 0 3 -1 0
851 -70.4426 2 0 0
1649 -83.5946 3 0 0
1810 -70.7045 4 0 0
1971 -76.5574 3 0 0
2132 -70.9715 2 0 0
2293 -82.0243 3 1 0
2454 -77.2951 2 1 0
711 -77.625 2 1 0
781 -76.1378 3 1 0
851 -70.4426 2 0 0
1649 -77.289 3 1 0
1810 -70.7045 4 0 0
1971 -77.4291 3 3 0
2132 -78.9486 2 2 0
2293 -79.2026 3 3 0
2454 -77.2951 2 1 0
711 -77.625 0 1 0.0671106
781 -76.1378 2 1 0.0226174
851 -70.4426 1 0 0
1649 -77.289 2 1 0
1810 -70.7045 2 0 0
1971 -77.4291 3 3 1.57692
2132 -78.9486 1 2 0.161641
2293 -79.2026 3 3 0.0245485
2454 -77.2951 2 1 0.0268465
711 -77.625 0 1 0.0668793
781 -76.1378 2 1 0.0177348
851 -70.4426 1 0 0
1649 -77.289 2 1 0.0170178
1810 -70.7045 2 0 0
1971 -77.4291 2 3 6.09617
2132 -78.9486 1 2 0.389535
2293 -79.2026 2 3 0.0173585
2454 -77.2951 2 1 0.0168964
711 -76.5525 0 2 0.0595711
1971 -77.4291 1 3 7.72864
2132 -80.108 0 3 0.427037
2293 -79.2026 2 3 0.0139785
2454 -77.2951 1 1 0.0142962
711 -76.5525 0 2 0.122625
1971 -77.4291 1 3 8.29686
2132 -80.108 1 3 0.516803
2293 -79.2026 2 3 0.0119975
2454 -77.2951 2 1 0.0118205
711 -76.5525 0 2 0.167539
1971 -77.4291 1 3 9.00009
2132 -80.108 0 3 0.514619
2293 -79.2026 2 3 0.00973601
2454 -77.2951 1 1 0.00968095
711 -76.5525 0 2 0.161098
1971 -77.4291 1 3 9.36428
2132 -80.108 0 3 0.592287
2293 -79.2026 2 3 0.00856135
2454 -77.2951 1 1 0.0085595
711 -76.5525 0 2 0.147486
1971 -77.4291 1 3 9.91236
2132 -80.108 1 3 0.605961
