ID  RSSI  Neighbors  Sources  Throughput
239 0 1 -1 0
855 0 2 -1 0
1016 -72.7895 1 0 0
239 -78.7466 1 1 0
855 -79.0532 2 2 0
1016 -79.9471 1 4 0
239 -78.7466 1 1 0.403229
855 -79.0532 2 2 0.338227
1016 -79.9471 1 4 0.456972
239 -78.7466 1 1 0.646689
855 -79.0532 2 2 0.710487
1016 -79.9471 1 4 0.754731
239 -79.0268 0 3 0.822892
1016 -79.9471 0 4 0.865272
239 -79.0268 0 3 1.19177
1016 -79.9471 0 4 1.004
239 -79.0268 0 3 1.37792
1016 -79.9471 0 4 1.08153
239 -79.0268 0 3 1.61676
1016 -79.9471 0 4 1.12884
239 -79.0268 0 3 1.74669
1016 -79.9471 0 4 1.17834
239 -79.0268 0 3 1.81435
1016 -79.9471 0 4 1.19695
239 -79.0268 0 3 1.92229
1016 -79.9471 0 4 1.23449
239 -79.0268 0 3 1.98389
1016 -79.9471 0 4 1.25988
239 -79.0268 0 3 2.06376
1016 -79.9471 0 4 1.2876
239 -79.0268 0 3 2.12268
1016 -79.9471 0 4 1.29632
239 -79.0268 0 3 2.15937
1016 -79.9471 0 4 1.31899
239 -79.0268 0 3 2.21013
1016 -79.9471 0 4 1.32046
239 -79.0268 0 3 2.24608
1016 -79.9471 0 4 1.3394
239 -79.0268 0 3 2.27149
1016 -79.9471 0 4 1.34248
239 -79.0268 0 3 2.30529
1016 -79.9471 0 4 1.35786
239 -79.0268 0 3 2.33678
1016 -79.9471 0 4 1.36261
239 -79.0268 0 3 2.35182
1016 -79.9471 0 4 1.37299
239 -79.0268 0 3 2.38536
1016 -79.9471 0 4 1.37514
239 -79.0268 0 3 2.40025
1016 -79.9471 0 4 1.38679
239 -79.0268 0 3 2.41927
1016 -79.9471 0 4 1.38653
239 -79.0268 0 3 2.43549
1016 -79.9471 0 4 1.39523
239 -79.0268 0 3 2.45425
1016 -79.9471 0 4 1.39667
239 -79.0268 0 3 2.46494
1016 -79.9471 0 4 1.40261
239 -79.0268 0 3 2.47562
1016 -79.9471 0 4 1.40358
239 -79.0268 0 3 2.48915
1016 -79.9471 0 4 1.41074
239 -79.0268 0 3 2.49718
1016 -79.9471 0 4 1.41049
239 -79.0268 0 3 2.51237
1016 -79.9471 0 4 1.41895
239 -79.0268 0 3 2.51693
1016 -79.9471 0 4 1.41706
239 -79.0268 0 3 2.5277
1016 -79.9471 0 4 1.42468
239 -79.0268 0 3 2.54031
1016 -79.9471 0 4 1.42399
239 -79.0268 0 3 2.54643
1016 -79.9471 0 4 1.42791
239 -79.0268 0 3 2.55256
1016 -79.9471 0 4 1.42902
239 -79.0268 0 3 2.56234
1016 -79.9471 0 4 1.43346
239 -79.0268 0 3 2.56592
1016 -79.9471 0 4 1.43367
239 -79.0268 0 3 2.57402
1016 -79.9471 0 4 1.4369
239 -79.0268 0 3 2.5826
1016 -79.9471 0 4 1.43754
239 -79.0268 0 3 2.5881
1016 -79.9471 0 4 1.44038
239 -79.0268 0 3 2.5922
1016 -79.9471 0 4 1.44017
239 -79.0268 0 3 2.60071
1016 -79.9471 0 4 1.4442
239 -79.0268 0 3 2.60449
1016 -79.9471 0 4 1.44281
239 -79.0268 0 3 2.61072
1016 -79.9471 0 4 1.44671
239 -79.0268 0 3 2.61468
1016 -79.9471 0 4 1.44574
239 -79.0268 0 3 2.61804
1016 -79.9471 0 4 1.45033
239 -79.0268 0 3 2.62185
1016 -79.9471 0 4 1.44849
239 -79.0268 0 3 2.62478
1016 -79.9471 0 4 1.45251
239 -79.0268 0 3 2.6306
1016 -79.9471 0 4 1.45241
239 -79.0268 0 3 2.63216
1016 -79.9471 0 4 1.45491
239 -79.0268 0 3 2.63812
1016 -79.9471 0 4 1.45495
239 -79.0268 0 3 2.64138
1016 -79.9471 0 4 1.4564
239 -79.0268 0 3 2.64492
1016 -79.9471 0 4 1.45586
239 -79.0268 0 3 2.64789
1016 -79.9471 0 4 1.45845
239 -79.0268 0 3 2.65265
1016 -79.9471 0 4 1.45792
239 -79.0268 0 3 2.65518
1016 -79.9471 0 4 1.46069
239 -79.0268 0 3 2.65845
1016 -79.9471 0 4 1.46002
239 -79.0268 0 3 2.65972
1016 -79.9471 0 4 1.46206
239 -79.0268 0 3 2.6629
1016 -79.9471 0 4 1.46168
239 -79.0268 0 3 2.66543
1016 -79.9471 0 4 1.46358
239 -79.0268 0 3 2.66799
1016 -79.9471 0 4 1.46268
239 -79.0268 0 3 2.66968
1016 -79.9471 0 4 1.46507
239 -79.0268 0 3 2.67126
1016 -79.9471 0 4 1.46404
239 -79.0268 0 3 2.67516
1016 -79.9471 0 4 1.46607
239 -79.0268 0 3 2.67799
1016 -79.9471 0 4 1.4651
239 -79.0268 0 3 2.68092
1016 -79.9471 0 4 1.46811
239 -79.0268 0 3 2.68148
1016 -79.9471 0 4 1.4662
239 -79.0268 0 3 2.68468
1016 -79.9471 0 4 1.46909
239 -79.0268 0 3 2.68621
1016 -79.9471 0 4 1.46793
239 -79.0268 0 3 2.68718
1016 -79.9471 0 4 1.46972
239 -79.0268 0 3 2.691
1016 -79.9471 0 4 1.46967
239 -79.0268 0 3 2.69143
1016 -79.9471 0 4 1.47129
239 -79.0268 0 3 2.69322
1016 -79.9471 0 4 1.47016
239 -79.0268 0 3 2.69553
1016 -79.9471 0 4 1.472
239 -79.0268 0 3 2.69803
1016 -79.9471 0 4 1.47127
239 -79.0268 0 3 2.69812
1016 -79.9471 0 4 1.47378
239 -79.0268 0 3 2.70026
1016 -79.9471 0 4 1.47209
239 -79.0268 0 3 2.70206
1016 -79.9471 0 4 1.47438
239 -79.0268 0 3 2.70376
1016 -79.9471 0 4 1.47403
239 -79.0268 0 3 2.70533
1016 -79.9471 0 4 1.47542
239 -79.0268 0 3 2.70638
1016 -79.9471 0 4 1.47443
239 -79.0268 0 3 2.70893
1016 -79.9471 0 4 1.47612
239 -79.0268 0 3 2.7097
1016 -79.9471 0 4 1.47522
239 -79.0268 0 3 2.71162
1016 -79.9471 0 4 1.47644
239 -79.0268 0 3 2.71234
1016 -79.9471 0 4 1.4763
239 -79.0268 0 3 2.71373
1016 -79.9471 0 4 1.47772
239 -79.0268 0 3 2.71484
1016 -79.9471 0 4 1.47713
239 -79.0268 0 3 2.71547
1016 -79.9471 0 4 1.47825
239 -79.0268 0 3 2.71803
1016 -79.9471 0 4 1.47769
239 -79.0268 0 3 2.71866
1016 -79.9471 0 4 1.47903
239 -79.0268 0 3 2.72076
1016 -79.9471 0 4 1.47851
239 -79.0268 0 3 2.72145
1016 -79.9471 0 4 1.47984
239 -79.0268 0 3 2.72259
1016 -79.9471 0 4 1.47955
239 -79.0268 0 3 2.72316
1016 -79.9471 0 4 1.4805
239 -79.0268 0 3 2.72446
1016 -79.9471 0 4 1.47945
239 -79.0268 0 3 2.72582
1016 -79.9471 0 4 1.48117
239 -79.0268 0 3 2.7261
1016 -79.9471 0 4 1.48009
239 -79.0268 0 3 2.72772
1016 -79.9471 0 4 1.48222
239 -79.0268 0 3 2.72823
1016 -79.9471 0 4 1.47987
239 -79.0268 0 3 2.7293
1016 -79.9471 0 4 1.4826
239 -79.0268 0 3 2.73024
1016 -79.9471 0 4 1.48143
239 -79.0268 0 3 2.73101
1016 -79.9471 0 4 1.48295
239 -79.0268 0 3 2.73229
1016 -79.9471 0 4 1.48197
239 -79.0268 0 3 2.73323
1016 -79.9471 0 4 1.48307
239 -79.0268 0 3 2.73405
1016 -79.9471 0 4 1.4832
239 -79.0268 0 3 2.73532
1016 -79.9471 0 4 1.48376
239 -79.0268 0 3 2.73609
1016 -79.9471 0 4 1.48356
239 -79.0268 0 3 2.73662
1016 -79.9471 0 4 1.48434
239 -79.0268 0 3 2.73713
1016 -79.9471 0 4 1.48372
239 -79.0268 0 3 2.73759
1016 -79.9471 0 4 1.48484
239 -79.0268 0 3 2.73895
1016 -79.9471 0 4 1.48457
239 -79.0268 0 3 2.73915
1016 -79.9471 0 4 1.48558
239 -79.0268 0 3 2.73992
1016 -79.9471 0 4 1.48474
239 -79.0268 0 3 2.74137
1016 -79.9471 0 4 1.48578
239 -79.0268 0 3 2.7423
1016 -79.9471 0 4 1.48538
239 -79.0268 0 3 2.74212
1016 -79.9471 0 4 1.4862
239 -79.0268 0 3 2.74387
1016 -79.9471 0 4 1.48555
239 -79.0268 0 3 2.74357
1016 -79.9471 0 4 1.48722
239 -79.0268 0 3 2.74444
1016 -79.9471 0 4 1.48631
239 -79.0268 0 3 2.74503
1016 -79.9471 0 4 1.48723
239 -79.0268 0 3 2.74604
1016 -79.9471 0 4 1.48666
239 -79.0268 0 3 2.74674
1016 -79.9471 0 4 1.48769
239 -79.0268 0 3 2.74765
1016 -79.9471 0 4 1.48702
239 -79.0268 0 3 2.74794
1016 -79.9471 0 4 1.48784
239 -79.0268 0 3 2.74799
1016 -79.9471 0 4 1.48758
239 -79.0268 0 3 2.7484
1016 -79.9471 0 4 1.48823
239 -79.0268 0 3 2.74958
1016 -79.9471 0 4 1.48782
239 -79.0268 0 3 2.75007
1016 -79.9471 0 4 1.48897
239 -79.0268 0 3 2.7506
1016 -79.9471 0 4 1.48781
239 -79.0268 0 3 2.75108
1016 -79.9471 0 4 1.48888
239 -79.0268 0 3 2.75208
1016 -79.9471 0 4 1.48861
239 -79.0268 0 3 2.75217
1016 -79.9471 0 4 1.48951
239 -79.0268 0 3 2.75276
1016 -79.9471 0 4 1.48925
239 -79.0268 0 3 2.75332
1016 -79.9471 0 4 1.48959
239 -79.0268 0 3 2.75381
1016 -79.9471 0 4 1.48909
239 -79.0268 0 3 2.7545
1016 -79.9471 0 4 1.49019
239 -79.0268 0 3 2.75474
1016 -79.9471 0 4 1.48904
239 -79.0268 0 3 2.75533
1016 -79.9471 0 4 1.4902
