,PacketsSent,PacketsReceived,PacketsLost(%),Jitter,Latency,PowerConsumed(W),Th/Wl(%),PacketsSentRO,PacketsReceivedRO,PacketsLostRO(%),JitterRO,LatencyRO,PowerConsumedRO(W),Th/WlRO(%),PacketsSentFLC,PacketsReceivedFLC,PacketsLostFLC(%),JitterFLC,LatencyFLC,PowerConsumedFLC(W),Th/WlFLC(%)
T1,8305.0,7708.0,7.188440698374473,0.016794060470866397,0.057294504629396385,4.680009712617414,67.81806304099298,8278.0,6425.0,22.384633969557864,0.012833415710551428,0.18184635763714363,2.6609397245668713,67.59758288420709,8632.0,7950.0,7.900834105653383,0.011695474567818167,0.06405983057313032,2.6793540651751604,70.48832271762208
T2,11829.0,11073.0,6.391072787217855,0.11279868183887973,0.1207771070186325,4.7431115913524575,70.3604568165596,11755.0,11110.0,5.487026797107614,0.01601051086422526,0.06402278204263341,2.6682519426269513,69.9202950273614,11884.0,11107.0,6.53820262537866,0.06147218670209784,0.2008926681837575,2.722963344065124,70.68760409231501
T3,21624.0,20145.0,6.839622641509434,0.05967818999039322,0.1334438088445346,4.914993027682753,70.87512291052114,22417.0,17390.0,22.424945353972433,0.010735487932235166,0.06066252495861401,2.745849378646456,73.4742707309079,20739.0,19073.0,8.03317421283572,0.20863637904142904,0.1890083180213103,2.8127516818625433,67.97443461160276
T4,17601.0,16424.0,6.6871200499971595,0.02414452541448599,0.07579231880744176,4.843313008011209,68.66807116104869,17174.0,16290.0,5.147315709793874,0.07675970124481349,0.10836163931394133,2.7227030115889193,67.0021847690387,18281.0,16868.0,7.729336469558558,0.0210747054121981,0.07643931674368325,2.817525259323914,71.3210049937578
T5,29614.0,27466.0,7.2533261295333284,0.6254258841343209,0.428305479171171,5.06984662547325,70.5767397521449,30200.0,28122.0,6.880794701986755,0.021455057086082956,0.16387100956966,2.894893816765375,71.97330791229743,28655.0,26675.0,6.90978886756238,0.7341904817338757,0.4253331959105951,2.927489984473868,68.29122974261202
T6,26705.0,25010.0,6.3471260063658494,0.02234410943210338,0.11114423250297487,5.008337743882332,69.14810978767478,27020.0,25770.0,4.62620281273131,0.1320055227843294,0.178501027116061,2.8147760069485384,69.96374935266701,26894.0,24960.0,7.191195062095635,0.023754819162700058,0.1123083813757475,2.9065008527289136,69.63749352667011
T7,41466.0,38656.0,6.77663628032605,0.4972277244852311,0.409875302957991,5.263490292413417,71.8847514042022,40570.0,37872.0,6.650234163174759,0.09702539970101083,0.21356067780239332,3.034954723235463,70.33146106372651,43442.0,40285.0,7.2671608121173055,0.5699578942683724,0.3808953431356968,3.0782343987227097,75.31031135150128
T8,27506.0,26238.0,4.609903293826801,0.019212559742305402,0.09727533901681974,4.934069127798705,73.18539804171988,26754.0,25101.0,6.178515362188832,0.013349804414976185,0.088015292862365,2.827833350584668,71.1845466155811,27355.0,25008.0,8.57978431730945,0.10607610832758751,0.12975745408002262,2.865539535424834,72.7836313324819
T9,40169.0,37540.0,6.544848017127635,0.16741556795655976,0.2202523407364104,5.249905366687794,71.3152007953698,40290.0,38014.0,5.649044427897741,0.028198205057664523,0.16332099819347348,3.037286792347542,71.53002165962432,41503.0,38402.0,7.471749030190589,0.34210064936077683,0.3377399300178025,3.0567068261847075,73.68355643929979
T10,32433.0,31093.0,4.131594363765301,0.01708376875667456,0.1026943348592215,4.997834227524501,71.69098143236074,32014.0,30742.0,3.973261698007122,0.01405999379365436,0.12864619042975817,2.8365830457860812,70.76480990274094,32177.0,30708.0,4.565372781800665,0.14234935012674457,0.1523931345516186,2.8800638132686722,71.12511052166225
