,PacketsSent,PacketsReceived,PacketsLost(%),Jitter,Latency,PowerConsumed(W),Th/Wl(%)
T1,5681.0,5568.0,1.9890864284456962,0.08033691144459267,0.15763492321258002,1.7353174405264176,55.02712127082526
T2,5990.0,5952.0,0.6343906510851419,0.04363722195834163,0.053506209963389666,1.579339125941082,56.659099508134695
T3,13984.0,12249.0,12.40703661327231,0.2481097480006003,0.3707114335319501,1.9937351051138763,44.46988488201997
T4,12078.0,11550.0,4.371584699453552,0.0314311006657249,0.14942481152446,1.72866591969104,29.475790706755173
T5,14346.0,13766.0,4.042938798271295,0.07365456166523537,0.10983868641523865,1.676669953321334,168.38028169014083
T6,25453.0,21328.0,16.206341099281026,0.160035428442184,0.5020125228346567,2.205289009354042,10.54810529456619
T7,31714.0,22222.0,29.92999936936369,0.256494050960564,1.5458055932818802,2.6425325834069593,6.5740214836219515
T8,24196.0,20695.0,14.46933377417755,0.20781884877224668,0.28260220762019334,1.8501458202524173,5.0210837372999535
T9,14848.0,12398.0,16.50053879310345,0.035128339089795,0.07741850583062633,1.6802995385056667,4.607288253400854
T10,17419.0,14554.0,16.447557265055398,0.081588273167006,0.17798585465389002,1.8275707962131245,4.31270116365437
