,PacketsSent,PacketsReceived,PacketsLost(%),Jitter,Latency,PowerConsumed(W),Th/Wl(%)
T1,5887.0,5704.0,3.1085442500424665,0.010869249874970567,0.037832118063686,1.5714867160469603,57.02247191011236
T2,6627.0,6505.0,1.8409536743624566,0.007094008119836799,0.03828377032262434,1.576154335352667,62.684449489216796
T3,13124.0,12590.0,4.068881438585797,0.009269745845496266,0.06915688998419534,1.64437854271229,41.7350378426509
T4,11877.0,11411.0,3.923549717942241,0.0082169246265305,0.06221971912391566,1.6298378309207484,28.985259664193674
T5,14873.0,13758.0,7.4968062932831305,0.02339864419037953,0.07807496566519433,1.6526392176105824,174.56572769953053
T6,25087.0,23158.0,7.689241439789533,0.026948529638383234,0.12665213698354802,1.7639716946533743,10.396429400258596
T7,30677.0,27122.0,11.588486488248526,0.015685638987798536,0.13760689176737298,1.8122081459576256,6.3590608896093395
T8,24647.0,20963.0,14.94705237959995,0.011507039476155665,0.09662201404934667,1.732404472746625,5.114673949133409
T9,15433.0,13079.0,15.253029223093371,0.020619819573943335,0.054128079639263665,1.6426505665449156,4.788811935259656
T10,16748.0,14075.0,15.960114640554096,0.02678390207075933,0.065497147161498,1.6569629082142077,4.146570933399357
