run,type,module,name,attrname,attrvalue,value,count,sumweights,mean,stddev,min,max,binedges,binvalues
wsnSc1T10-2-20210305-23:27:44-26787,runattr,,,configname,wsnSc1T10,,,,,,,,,
wsnSc1T10-2-20210305-23:27:44-26787,runattr,,,datetime,20210305-23:27:44,,,,,,,,,
wsnSc1T10-2-20210305-23:27:44-26787,runattr,,,experiment,wsnSc1T10,,,,,,,,,
wsnSc1T10-2-20210305-23:27:44-26787,runattr,,,inifile,wsnSc1.ini,,,,,,,,,
wsnSc1T10-2-20210305-23:27:44-26787,runattr,,,iterationvars,"$opMode=""alwaysON""",,,,,,,,,
wsnSc1T10-2-20210305-23:27:44-26787,runattr,,,iterationvarsf,opMode=alwaysON-,,,,,,,,,
wsnSc1T10-2-20210305-23:27:44-26787,runattr,,,measurement,"$opMode=""alwaysON""",,,,,,,,,
wsnSc1T10-2-20210305-23:27:44-26787,runattr,,,network,Sc1,,,,,,,,,
wsnSc1T10-2-20210305-23:27:44-26787,runattr,,,processid,26787,,,,,,,,,
wsnSc1T10-2-20210305-23:27:44-26787,runattr,,,repetition,0,,,,,,,,,
wsnSc1T10-2-20210305-23:27:44-26787,runattr,,,replication,#0,,,,,,,,,
wsnSc1T10-2-20210305-23:27:44-26787,runattr,,,resultdir,results,,,,,,,,,
wsnSc1T10-2-20210305-23:27:44-26787,runattr,,,runnumber,2,,,,,,,,,
wsnSc1T10-2-20210305-23:27:44-26787,runattr,,,seedset,2,,,,,,,,,
wsnSc1T10-2-20210305-23:27:44-26787,itervar,,,opMode,"""alwaysON""",,,,,,,,,
wsnSc1T10-2-20210305-23:27:44-26787,param,,,*.controller.tNumber,10,,,,,,,,,
wsnSc1T10-2-20210305-23:27:44-26787,param,,,"*.ss{1,2,3}.app[0].sendInterval",12s,,,,,,,,,
wsnSc1T10-2-20210305-23:27:44-26787,param,,,"*.ss{4,5,6}.app[0].sendInterval",0.1875s,,,,,,,,,
wsnSc1T10-2-20210305-23:27:44-26787,param,,,*.ss7.app[0].sendInterval,0.012s,,,,,,,,,
wsnSc1T10-2-20210305-23:27:44-26787,param,,,*.ap*.wlan[*].mgmt.beaconInterval,0.05s,,,,,,,,,
wsnSc1T10-2-20210305-23:27:44-26787,param,,,*.ap*.hasStatus,true,,,,,,,,,
wsnSc1T10-2-20210305-23:27:44-26787,param,,,*.ap*.energyStorage.typename,"""SimpleEpEnergyStorage""",,,,,,,,,
wsnSc1T10-2-20210305-23:27:44-26787,param,,,*.ap*.wlan[*].radio.energyConsumer.typename,"""Ieee80211StateBasedEpEnergyConsumer""",,,,,,,,,
wsnSc1T10-2-20210305-23:27:44-26787,param,,,*.ap*.energyManagement.typename,"""SimpleEpEnergyManagement""",,,,,,,,,
wsnSc1T10-2-20210305-23:27:44-26787,param,,,*.ap*.energyManagement.nodeShutdownCapacity,0.1 * energyStorage.nominalCapacity,,,,,,,,,
wsnSc1T10-2-20210305-23:27:44-26787,param,,,*.ap*.energyManagement.nodeStartCapacity,0.5 * energyStorage.nominalCapacity,,,,,,,,,
wsnSc1T10-2-20210305-23:27:44-26787,param,,,*.ap*.energyStorage.nominalCapacity,1000J,,,,,,,,,
wsnSc1T10-2-20210305-23:27:44-26787,param,,,*.ap*.energyStorage.initialCapacity,1000J,,,,,,,,,
wsnSc1T10-2-20210305-23:27:44-26787,param,,,*.ap1.wlan[*].mgmt.sinkAddress,"""sink1""",,,,,,,,,
wsnSc1T10-2-20210305-23:27:44-26787,param,,,*.ap1.wlan[*].radio.energyConsumer.energySourceModule,"""ap1.energyStorage""",,,,,,,,,
wsnSc1T10-2-20210305-23:27:44-26787,param,,,*.ap2.wlan[*].mgmt.sinkAddress,"""sink2""",,,,,,,,,
wsnSc1T10-2-20210305-23:27:44-26787,param,,,*.ap2.wlan[*].radio.energyConsumer.energySourceModule,"""ap2.energyStorage""",,,,,,,,,
wsnSc1T10-2-20210305-23:27:44-26787,param,,,*.ap3.wlan[*].mgmt.sinkAddress,"""sink3""",,,,,,,,,
wsnSc1T10-2-20210305-23:27:44-26787,param,,,*.ap3.wlan[*].radio.energyConsumer.energySourceModule,"""ap3.energyStorage""",,,,,,,,,
wsnSc1T10-2-20210305-23:27:44-26787,param,,,*.sink*.wlan[*].mgmt.typename,"""Ieee80211MgmtSta""",,,,,,,,,
wsnSc1T10-2-20210305-23:27:44-26787,param,,,*.sink*.wlan[*].agent.typename,"""AgentSink""",,,,,,,,,
wsnSc1T10-2-20210305-23:27:44-26787,param,,,*.sink1.wlan[*].agent.assocApAddress,"""ap1""",,,,,,,,,
wsnSc1T10-2-20210305-23:27:44-26787,param,,,*.sink2.wlan[*].agent.assocApAddress,"""ap2""",,,,,,,,,
wsnSc1T10-2-20210305-23:27:44-26787,param,,,*.sink3.wlan[*].agent.assocApAddress,"""ap3""",,,,,,,,,
wsnSc1T10-2-20210305-23:27:44-26787,param,,,*.sink*.numApps,1,,,,,,,,,
wsnSc1T10-2-20210305-23:27:44-26787,param,,,*.sink*.app[0].typename,"""UdpSinkAdap""",,,,,,,,,
wsnSc1T10-2-20210305-23:27:44-26787,param,,,*.sink*.app[0].localPort,6343,,,,,,,,,
wsnSc1T10-2-20210305-23:27:44-26787,param,,,*.visualizer.dataLinkVisualizer.displayLinks,true,,,,,,,,,
wsnSc1T10-2-20210305-23:27:44-26787,param,,,*.ap*.wlan[*].radio.displayCommunicationRange,true,,,,,,,,,
wsnSc1T10-2-20210305-23:27:44-26787,param,,,*.controller.opMode,"""alwaysON""",,,,,,,,,
wsnSc1T10-2-20210305-23:27:44-26787,param,,,*.controller.scNumber,1,,,,,,,,,
wsnSc1T10-2-20210305-23:27:44-26787,param,,,*.ss*.app[0].messageLength,1500Byte,,,,,,,,,
wsnSc1T10-2-20210305-23:27:44-26787,param,,,*.ss*.numApps,1,,,,,,,,,
wsnSc1T10-2-20210305-23:27:44-26787,param,,,*.ss*.app[0].typename,"""UdpApp""",,,,,,,,,
wsnSc1T10-2-20210305-23:27:44-26787,param,,,*.ss*.app[0].destPort,6343,,,,,,,,,
wsnSc1T10-2-20210305-23:27:44-26787,param,,,*.ss*.app[0].startTime,1s,,,,,,,,,
wsnSc1T10-2-20210305-23:27:44-26787,param,,,*.ss*.sinkAddress,"""sink1""",,,,,,,,,
wsnSc1T1-2-20210305-23:17:54-26657,runattr,,,configname,wsnSc1T1,,,,,,,,,
wsnSc1T1-2-20210305-23:17:54-26657,runattr,,,datetime,20210305-23:17:54,,,,,,,,,
wsnSc1T1-2-20210305-23:17:54-26657,runattr,,,experiment,wsnSc1T1,,,,,,,,,
wsnSc1T1-2-20210305-23:17:54-26657,runattr,,,inifile,wsnSc1.ini,,,,,,,,,
wsnSc1T1-2-20210305-23:17:54-26657,runattr,,,iterationvars,"$opMode=""alwaysON""",,,,,,,,,
wsnSc1T1-2-20210305-23:17:54-26657,runattr,,,iterationvarsf,opMode=alwaysON-,,,,,,,,,
