ID  RSSI  Neighbors  Sources  Throughput
711 0 2 -1 0
781 0 3 -1 0
851 -70.4426 2 0 0
1649 -83.5946 3 0 0
1810 -70.7045 4 0 0
1971 -76.5574 3 0 0
2132 -70.9715 2 0 0
2293 -82.0243 3 1 0
2454 -77.2951 2 1 0
711 -77.625 2 1 0
781 -76.1378 3 1 0
851 -70.4426 2 0 0
1649 -77.289 3 1 0
1810 -70.7045 4 0 0
1971 -77.4291 3 3 0
2132 -78.9486 2 2 0
2293 -79.2026 3 3 0
2454 -77.2951 2 1 0
711 -77.625 1 1 0.391976
781 -76.1378 2 1 0.0704957
851 -70.4426 1 0 0
1649 -77.289 3 1 0.06677
1810 -70.7045 3 0 0
1971 -77.4291 2 3 4.31642
2132 -78.9486 2 2 1.42008
2293 -79.2026 3 3 0
2454 -77.2951 2 1 0
711 -77.625 2 1 0.762457
781 -76.1378 3 1 0.0454781
851 -70.4426 2 0 0
1649 -77.289 3 1 0.0444794
1810 -70.7045 4 0 0
1971 -77.4291 3 3 3.69578
2132 -78.9486 2 2 5.0786
2293 -79.2026 3 3 0
2454 -77.2951 2 1 0
711 -77.625 1 1 0.846669
781 -76.1378 2 1 0.0356738
851 -70.4426 2 0 0
1971 -77.4574 2 4 3.93552
2132 -79.8901 0 4 5.21027
2454 -77.7627 1 2 0
711 -77.625 1 1 0.892716
781 -76.1378 2 1 0.0305954
851 -70.4426 2 0 0
1971 -77.4574 2 4 5.19868
2132 -79.8901 0 4 4.46756
2454 -77.7627 1 2 0
711 -77.625 1 1 1.33984
781 -76.1378 2 1 0.0238645
851 -70.4426 2 0 0
1971 -77.4574 2 4 4.65186
2132 -79.8901 0 4 4.57152
2454 -77.7627 1 2 0
711 -77.625 1 1 1.79763
781 -76.1378 2 1 0.0209468
851 -70.4426 2 0 0
1971 -77.4574 2 4 4.44836
2132 -79.8901 0 4 6.21065
2454 -77.7627 1 2 0
711 -77.625 1 1 1.7293
781 -76.1378 2 1 0.0387166
851 -70.4426 1 0 0
