,PacketsSent,PacketsSentRO,PacketsSentFLC,PacketsSentFLCAG,PacketsReceived,PacketsReceivedRO,PacketsReceivedFLC,PacketsReceivedFLCAG,PacketsLost(%),PacketsLostRO(%),PacketsLostFLC(%),PacketsLostFLCAG(%),Jitter,JitterRO,JitterFLC,JitterFLCAG,Latency,LatencyRO,LatencyFLC,LatencyFLCAG,PowerConsumed(W),PowerConsumedRO(W),PowerConsumedFLC(W),PowerConsumedFLCAG(W),Th/Wl(%),Th/WlRO(%),Th/WlFLC(%),Th/WlFLCAG(%)
T1,15936.0,15652.0,15851.0,15851.0,14501.0,12118.0,14298.0,14298.0,9.004769076305221,22.578584206491183,9.797489117405842,9.797489117405842,0.020650030711190037,0.017395526543680487,0.0433958601362192,0.0433958601362192,0.09186702933917838,0.08002425954803642,0.1140757172487316,0.1140757172487316,4.794096392035624,2.7177267150097957,2.7022914843737906,2.7022914843737906,102.11457131872356,100.29475842624632,101.56990900935537,101.56990900935537
T2,19829.0,21991.0,21149.0,21149.0,18554.0,20414.0,19705.0,19705.0,6.429976297342276,7.171115456323041,6.827745992718332,6.827745992718332,0.017138913516271212,0.0185035053219412,0.026929360552629,0.026929360552629,0.09265544885275913,0.07770812913896899,0.11012769310654699,0.11012769310654699,4.867215253658325,2.8051422580571623,2.7421950647096613,2.7421950647096613,93.12887469472102,103.28292316362953,99.3283862483562,99.3283862483562
T3,50541.0,53428.0,51321.0,52224.0,43168.0,45073.0,42090.0,43188.0,14.588156150452107,15.63786778468219,17.986789033728883,17.30238970588235,0.7779399670123072,0.5132459580747661,0.027636303651472006,0.025596678755610218,0.5804877569515332,0.43712875016326863,0.20789961385567962,0.18781650462839283,5.308743814568121,3.051950252144623,3.0230691358397888,3.0485231809500797,97.73931541287952,103.32237478244053,99.24772771224134,100.994005028041
T4,63429.0,60328.0,63303.0,59829.0,40958.0,39437.0,40801.0,39647.0,35.4270128805436,34.629027980373955,35.54649858616495,33.73280516137659,0.09544026932600937,0.017885895548344,0.0190600126515686,0.019755291110527668,0.17505736062153499,0.21641787660700723,0.15791216398220917,0.164315934026163,5.26655464955467,3.031926836091672,3.0016118736839115,2.9622228911804998,102.91569314641744,97.88421599169263,102.711253894081,97.07457165109034
T5,164594.0,164656.0,164696.0,164696.0,69031.0,68463.0,69392.0,69392.0,58.05983207164295,58.42058594888738,57.8666148540341,57.8666148540341,0.2580874119866447,0.015126593572070019,0.0350832388572284,0.0350832388572284,0.3699468650258734,0.2357006578450762,0.24129237384529714,0.24129237384529714,5.8030582357156275,3.4552195991741654,3.278441327119913,3.278441327119913,101.62632748826871,101.66460854531984,101.68930600148185,101.68930600148185
T6,248135.0,246246.0,240272.0,247984.0,60405.0,58548.0,59747.0,60885.0,75.65639671952768,76.22377622377623,75.13359858826664,75.44801277501774,0.22843515168224168,0.17663607544470397,0.19443945098931797,0.021541374049161,0.29309935585929126,0.25585400839828104,0.26374655029251376,0.19558468088802658,5.6468655653931705,3.253914538550877,3.2563828459261686,3.2220790457688735,102.27310197015909,101.49451817657241,99.03223147308549,102.21086472673316
T7,621802.0,663623.0,640619.0,643382.0,82480.0,83102.0,83148.0,82630.0,86.73532732284554,87.47752865708392,87.02067843757366,87.15693009751594,0.2583142628899857,0.3320796326461112,0.11611573783221903,0.0384958845348448,0.4085750562801448,0.4446560025086919,0.4345237554067344,0.30865840437141506,6.058972218623626,3.6745205866267954,3.4422342934721692,3.4305854833635028,96.90159019081042,103.41897257840307,99.83403045735908,100.26461622854863
T8,484839.0,490199.0,484717.0,450053.0,47528.0,47294.0,48392.0,27345.0,90.1971582319079,90.35208150159426,90.01644258402325,93.92404894534644,0.02082396553826915,0.08690575167951348,0.022919459332055355,0.015121107526940498,0.1322952009999269,0.15132370005380216,0.140963277380755,0.12680965852428128,5.246031246439292,3.0484944938849594,3.048127517156627,2.8038733511876672,99.84657649345942,100.9504019901809,99.82145210715345,92.68283139477413
T9,1007903.0,969049.0,949961.0,934551.0,66212.0,65861.0,65531.0,66101.0,93.43071704320754,93.20354285490207,93.10171680732157,92.92697776793348,0.12490893544742936,0.0188074239429925,0.7381045676570432,0.1900028175113164,0.23955624389128122,0.2239048100421788,0.5234989616928768,0.3011145219325675,5.7598874910155855,3.363351944455955,3.332449408435794,3.240145191821959,104.73612892096857,100.69861980243701,98.7150923907283,97.11376394278031
T10,800411.0,841100.0,799902.0,799902.0,48844.0,48720.0,49056.0,49056.0,93.89763508997252,94.20758530495779,93.8672487379704,93.8672487379704,0.022602371493319423,0.02178332758155464,0.1821326247295313,0.1821326247295313,0.13228531143443215,0.138689878424785,0.2261451987462383,0.2261451987462383,5.257810210191996,3.095369159833543,3.013145900037163,3.013145900037163,99.40030301525012,104.45333068401968,99.33709204709155,99.33709204709155
