ID  RSSI  Neighbors  Sources  Throughput
239 0 1 -1 0
855 0 2 -1 0
1016 -72.7895 1 0 0
239 -78.7466 1 1 0
855 -79.0532 2 2 0
1016 -79.9471 1 4 0
239 -78.7466 1 1 5.43679
855 -79.0532 2 2 0.0574496
1016 -79.9471 1 4 5.72261
239 -78.7466 1 1 4.39349
855 -79.0532 2 2 0.0477257
1016 -79.9471 1 4 4.54406
239 -79.0268 0 3 4.9127
1016 -79.9471 0 4 4.25344
239 -79.0268 0 3 4.3356
1016 -79.9471 0 4 3.8099
239 -79.0268 0 3 5.8154
1016 -79.9471 0 4 5.6647
239 -79.0268 0 3 5.1022
1016 -79.9471 0 4 4.76029
239 -79.0268 0 3 6.25566
1016 -79.9471 0 4 6.17194
239 -79.0268 0 3 5.76636
1016 -79.9471 0 4 5.67667
239 -79.0268 0 3 6.11132
1016 -79.9471 0 4 6.38433
239 -79.0268 0 3 5.7245
1016 -79.9471 0 4 6.08099
239 -79.0268 0 3 5.53217
1016 -79.9471 0 4 6.92315
239 -79.0268 0 3 6.09214
1016 -79.9471 0 4 6.23685
239 -79.0268 0 3 6.74257
1016 -79.9471 0 4 7.0535
239 -79.0268 0 3 6.56995
1016 -79.9471 0 4 6.44203
239 -79.0268 0 3 6.55829
1016 -79.9471 0 4 7.24167
239 -79.0268 0 3 6.53633
1016 -79.9471 0 4 6.70252
239 -79.0268 0 3 7.05917
1016 -79.9471 0 4 7.21926
239 -79.0268 0 3 6.81632
1016 -79.9471 0 4 6.90192
239 -79.0268 0 3 6.62816
1016 -79.9471 0 4 6.90078
239 -79.0268 0 3 6.34387
1016 -79.9471 0 4 6.55892
239 -79.0268 0 3 6.25275
1016 -79.9471 0 4 7.026
239 -79.0268 0 3 6.55857
1016 -79.9471 0 4 6.81735
239 -79.0268 0 3 6.41187
1016 -79.9471 0 4 7.11695
239 -79.0268 0 3 6.76015
1016 -79.9471 0 4 6.95893
239 -79.0268 0 3 6.76159
1016 -79.9471 0 4 7.08906
239 -79.0268 0 3 6.48118
1016 -79.9471 0 4 6.77352
239 -79.0268 0 3 6.86588
1016 -79.9471 0 4 7.09295
239 -79.0268 0 3 6.63087
1016 -79.9471 0 4 6.85321
239 -79.0268 0 3 6.54162
1016 -79.9471 0 4 7.09201
239 -79.0268 0 3 6.74958
1016 -79.9471 0 4 6.96322
239 -79.0268 0 3 7.04044
1016 -79.9471 0 4 7.17133
239 -79.0268 0 3 6.91068
1016 -79.9471 0 4 7.02093
239 -79.0268 0 3 7.10255
1016 -79.9471 0 4 7.2571
239 -79.0268 0 3 6.93215
1016 -79.9471 0 4 7.07439
239 -79.0268 0 3 6.93864
1016 -79.9471 0 4 7.12227
239 -79.0268 0 3 6.75175
1016 -79.9471 0 4 6.87564
239 -79.0268 0 3 6.98284
1016 -79.9471 0 4 7.00623
239 -79.0268 0 3 6.83641
1016 -79.9471 0 4 6.80298
239 -79.0268 0 3 7.04745
1016 -79.9471 0 4 6.79661
239 -79.0268 0 3 6.91674
1016 -79.9471 0 4 6.65003
239 -79.0268 0 3 7.10966
1016 -79.9471 0 4 6.49079
239 -79.0268 0 3 6.94945
1016 -79.9471 0 4 6.33835
239 -79.0268 0 3 7.07339
1016 -79.9471 0 4 6.6121
239 -79.0268 0 3 6.92588
1016 -79.9471 0 4 6.5029
239 -79.0268 0 3 7.08484
1016 -79.9471 0 4 6.65159
239 -79.0268 0 3 6.9498
1016 -79.9471 0 4 6.49999
239 -79.0268 0 3 7.13406
1016 -79.9471 0 4 6.73608
239 -79.0268 0 3 7.0825
1016 -79.9471 0 4 6.64624
239 -79.0268 0 3 7.06455
1016 -79.9471 0 4 6.79094
239 -79.0268 0 3 6.95667
1016 -79.9471 0 4 6.65515
239 -79.0268 0 3 6.99001
1016 -79.9471 0 4 6.8455
239 -79.0268 0 3 6.98188
1016 -79.9471 0 4 6.70249
239 -79.0268 0 3 7.11967
1016 -79.9471 0 4 6.9185
239 -79.0268 0 3 7.03966
1016 -79.9471 0 4 6.78898
239 -79.0268 0 3 7.01039
1016 -79.9471 0 4 6.9851
239 -79.0268 0 3 7.02751
1016 -79.9471 0 4 6.80167
239 -79.0268 0 3 6.98854
1016 -79.9471 0 4 7.01327
239 -79.0268 0 3 6.93472
1016 -79.9471 0 4 6.85694
239 -79.0268 0 3 7.05111
1016 -79.9471 0 4 6.77561
239 -79.0268 0 3 6.9259
1016 -79.9471 0 4 6.67592
239 -79.0268 0 3 6.89895
1016 -79.9471 0 4 6.84288
239 -79.0268 0 3 6.98036
1016 -79.9471 0 4 6.7038
239 -79.0268 0 3 7.13291
1016 -79.9471 0 4 6.69299
239 -79.0268 0 3 7.03205
1016 -79.9471 0 4 6.57512
239 -79.0268 0 3 6.97433
1016 -79.9471 0 4 6.7441
239 -79.0268 0 3 6.87963
1016 -79.9471 0 4 6.60929
239 -79.0268 0 3 7.06529
1016 -79.9471 0 4 6.58922
239 -79.0268 0 3 6.93068
1016 -79.9471 0 4 6.45616
239 -79.0268 0 3 6.95821
1016 -79.9471 0 4 6.60875
239 -79.0268 0 3 6.98734
1016 -79.9471 0 4 6.51662
239 -79.0268 0 3 6.88363
1016 -79.9471 0 4 6.65897
239 -79.0268 0 3 6.78281
1016 -79.9471 0 4 6.57055
239 -79.0268 0 3 6.76516
1016 -79.9471 0 4 6.72095
239 -79.0268 0 3 6.70762
1016 -79.9471 0 4 6.61322
239 -79.0268 0 3 6.84959
1016 -79.9471 0 4 6.72837
239 -79.0268 0 3 6.78386
1016 -79.9471 0 4 6.63835
239 -79.0268 0 3 6.74042
1016 -79.9471 0 4 6.78288
239 -79.0268 0 3 6.66817
1016 -79.9471 0 4 6.68275
239 -79.0268 0 3 6.73314
1016 -79.9471 0 4 6.64156
239 -79.0268 0 3 6.68023
1016 -79.9471 0 4 6.52179
239 -79.0268 0 3 6.75261
1016 -79.9471 0 4 6.64582
239 -79.0268 0 3 6.67581
1016 -79.9471 0 4 6.56947
239 -79.0268 0 3 6.79666
1016 -79.9471 0 4 6.58985
239 -79.0268 0 3 6.71467
1016 -79.9471 0 4 6.52043
239 -79.0268 0 3 6.83394
1016 -79.9471 0 4 6.48163
239 -79.0268 0 3 6.77576
1016 -79.9471 0 4 6.37431
239 -79.0268 0 3 6.72422
1016 -79.9471 0 4 6.41214
239 -79.0268 0 3 6.62058
1016 -79.9471 0 4 6.321
239 -79.0268 0 3 6.64357
1016 -79.9471 0 4 6.43796
239 -79.0268 0 3 6.67548
1016 -79.9471 0 4 6.36559
239 -79.0268 0 3 6.74893
1016 -79.9471 0 4 6.48031
239 -79.0268 0 3 6.70728
1016 -79.9471 0 4 6.44764
239 -79.0268 0 3 6.72845
1016 -79.9471 0 4 6.5273
239 -79.0268 0 3 6.67544
1016 -79.9471 0 4 6.4575
239 -79.0268 0 3 6.68636
1016 -79.9471 0 4 6.58308
239 -79.0268 0 3 6.6434
1016 -79.9471 0 4 6.48694
239 -79.0268 0 3 6.65889
1016 -79.9471 0 4 6.61379
239 -79.0268 0 3 6.59227
1016 -79.9471 0 4 6.51817
239 -79.0268 0 3 6.58986
1016 -79.9471 0 4 6.55205
239 -79.0268 0 3 6.54335
1016 -79.9471 0 4 6.49668
239 -79.0268 0 3 6.62727
1016 -79.9471 0 4 6.57005
239 -79.0268 0 3 6.58485
1016 -79.9471 0 4 6.52642
239 -79.0268 0 3 6.64594
1016 -79.9471 0 4 6.57885
239 -79.0268 0 3 6.60307
1016 -79.9471 0 4 6.5713
239 -79.0268 0 3 6.67973
1016 -79.9471 0 4 6.66492
239 -79.0268 0 3 6.61837
1016 -79.9471 0 4 6.58957
239 -79.0268 0 3 6.62925
1016 -79.9471 0 4 6.67389
239 -79.0268 0 3 6.5921
1016 -79.9471 0 4 6.60712
239 -79.0268 0 3 6.66628
1016 -79.9471 0 4 6.64227
239 -79.0268 0 3 6.60234
1016 -79.9471 0 4 6.55569
239 -79.0268 0 3 6.68667
1016 -79.9471 0 4 6.64541
239 -79.0268 0 3 6.64314
1016 -79.9471 0 4 6.58593
239 -79.0268 0 3 6.70695
1016 -79.9471 0 4 6.68762
239 -79.0268 0 3 6.67073
1016 -79.9471 0 4 6.63154
239 -79.0268 0 3 6.74573
1016 -79.9471 0 4 6.68278
239 -79.0268 0 3 6.68075
1016 -79.9471 0 4 6.63394
239 -79.0268 0 3 6.66076
1016 -79.9471 0 4 6.73082
239 -79.0268 0 3 6.60828
1016 -79.9471 0 4 6.66438
239 -79.0268 0 3 6.6862
1016 -79.9471 0 4 6.72779
239 -79.0268 0 3 6.64085
1016 -79.9471 0 4 6.67494
239 -79.0268 0 3 6.71901
1016 -79.9471 0 4 6.63537
239 -79.0268 0 3 6.66651
1016 -79.9471 0 4 6.58516
239 -79.0268 0 3 6.63853
1016 -79.9471 0 4 6.59678
239 -79.0268 0 3 6.57443
1016 -79.9471 0 4 6.53752
239 -79.0268 0 3 6.64177
1016 -79.9471 0 4 6.54776
239 -79.0268 0 3 6.59867
1016 -79.9471 0 4 6.46493
239 -79.0268 0 3 6.66811
1016 -79.9471 0 4 6.54545
239 -79.0268 0 3 6.61583
1016 -79.9471 0 4 6.52337
239 -79.0268 0 3 6.67722
1016 -79.9471 0 4 6.46519
239 -79.0268 0 3 6.61908
1016 -79.9471 0 4 6.41629
239 -79.0268 0 3 6.69934
1016 -79.9471 0 4 6.36824
239 -79.0268 0 3 6.64668
1016 -79.9471 0 4 6.32517
239 -79.0268 0 3 6.72028
1016 -79.9471 0 4 6.29575
239 -79.0268 0 3 6.67939
1016 -79.9471 0 4 6.24627
239 -79.0268 0 3 6.69288
1016 -79.9471 0 4 6.304
239 -79.0268 0 3 6.7003
1016 -79.9471 0 4 6.24846
239 -79.0268 0 3 6.68174
1016 -79.9471 0 4 6.31858
