,PacketsSent,PacketsSentRO,PacketsSentFLC,PacketsSentFLCAG,PacketsReceived,PacketsReceivedRO,PacketsReceivedFLC,PacketsReceivedFLCAG,PacketsLost(%),PacketsLostRO(%),PacketsLostFLC(%),PacketsLostFLCAG(%),Jitter,JitterRO,JitterFLC,JitterFLCAG,Latency,LatencyRO,LatencyFLC,LatencyFLCAG,PowerConsumed(W),PowerConsumedRO(W),PowerConsumedFLC(W),PowerConsumedFLCAG(W),Th/Wl(%),Th/WlRO(%),Th/WlFLC(%),Th/WlFLCAG(%)
T1,25676.0,26264.0,26509.0,26509.0,15760.0,19085.0,20420.0,20420.0,38.6197226982396,27.33399329881206,22.969557508770606,22.969557508770606,0.031231793358299557,0.02935842722304311,0.045208712510418,0.045208712510418,0.1681205680055135,0.14785762129668287,0.17999308277284967,0.17999308277284967,8.092277671652088,4.435591708781673,4.417702061867954,4.417702061867954,98.0898533007335,100.3361858190709,101.27215770171149,101.27215770171149
T2,37394.0,37467.0,36918.0,36918.0,26043.0,24385.0,27228.0,27228.0,30.355137187784138,34.91605946566312,26.24735901186413,26.24735901186413,0.031168867017874802,0.6241506736166502,0.04553620615032733,0.04553620615032733,0.20709966420026937,0.4898529524420111,0.16040897662390385,0.16040897662390385,8.381389442541536,4.530006260307361,4.506072581583127,4.506072581583127,99.37812267460401,99.5721271393643,98.11310726055065,98.11310726055065
T3,81819.0,81865.0,85332.0,85332.0,45461.0,47705.0,66025.0,66025.0,44.43711118444371,41.727233860624196,22.62574415225238,22.62574415225238,5.91225837328995,0.1307807754659032,1.997176438898772,1.997176438898772,3.593888017032468,0.3538786732521552,1.4029372513802023,1.4029372513802023,9.132417545300504,4.896051191531872,5.110188181085785,5.110188181085785,98.3496009231657,98.4048947014136,102.57236272718531,102.57236272718531
T4,143921.0,141046.0,138388.0,138388.0,42500.0,55122.0,73073.0,73073.0,70.46991057594097,60.91913276519717,47.197011301557936,47.197011301557936,3.1953039127257052,2.460420246214457,1.820796616742486,1.820796616742486,2.5480999303734153,1.841790913022216,1.2805266581716228,1.2805266581716228,9.307010437576583,5.451196396748575,5.214774230635059,5.214774230635059,100.45859392450302,98.4518092472638,96.59649318740227,96.59649318740227
T5,286740.0,276681.0,273774.0,273774.0,41124.0,66157.0,81176.0,81176.0,85.65808746599707,76.08907008432094,70.3492661830561,70.3492661830561,8.83483211988758,1.4422402152285885,0.5338362741898871,0.5338362741898871,5.592004779443462,1.349960427256788,0.88933262602764,0.88933262602764,9.311769400213326,5.265280878198322,5.300715194536376,5.300715194536376,100.81923982982315,97.28244435849653,96.26032839914208,96.26032839914208
T6,411979.0,409211.0,402300.0,412530.0,50703.0,74471.0,79573.0,75900.0,87.69281929418733,81.8013201013658,80.22048222719364,81.60133808450294,2.2828237970298355,0.05499765131693914,0.092433305450244,0.2624432430865308,1.6426685850932323,0.5675186966868113,0.349370194704776,0.44069884919258395,9.322481208471421,5.25221828074466,5.230928851089372,5.123032026566496,101.65694460894626,100.9739330411781,99.26862489636385,101.79290536539145
T7,1330580.0,1292283.0,1187686.0,1187686.0,38324.0,58589.0,78361.0,78361.0,97.11975228847571,95.46624075376678,93.40221236926259,93.40221236926259,6.077022293841746,6.092557755889606,3.5287821281256457,3.5287821281256457,4.76954349471448,4.251409936902129,3.01909952498154,3.01909952498154,9.235710305615628,5.181125768988204,5.378121719508832,5.378121719508832,103.61416886264102,100.631926663801,92.4868085795628,92.4868085795628
T8,960505.0,993587.0,937265.0,889748.0,54426.0,72346.0,69817.0,69231.0,94.33360575947027,92.71870505552106,92.55098611385255,92.21903280479417,0.1489977354612541,0.1562699497112384,0.25754186860733835,0.20164117664504067,0.4199142541330053,0.588274336971099,0.5313622962741517,0.48197613853446497,9.504441580301803,5.408526755006657,5.209678879623463,5.117944154452834,98.90041433961021,102.30677194022965,96.50745893672054,91.61477124829075
T9,2317540.0,2287444.0,2177475.0,2177475.0,40634.0,59008.0,81009.0,81009.0,98.2466753540392,97.42035214851161,96.2796817414666,96.2796817414666,8.302940490061472,0.10053380227307433,4.389143390117741,4.389143390117741,5.444419756374684,0.656809500974581,3.2388814936987202,3.2388814936987202,9.305591825900297,5.128549239353492,5.367357085777,5.367357085777,103.19744012425336,101.85729921709338,96.96050378183703,96.96050378183703
T10,1641694.0,1592783.0,1565046.0,1565046.0,55433.0,67085.0,88501.0,88501.0,96.6234267774628,95.7881896027268,94.34515023839555,94.34515023839555,0.6354015757022268,1.0594541542277502,0.128152412794225,0.128152412794225,0.6583946865512047,0.8993206526855015,0.5189504627112017,0.5189504627112017,9.480976961978877,5.377763543062868,5.52740190878742,5.52740190878742,101.93691400186277,98.89990686122323,97.17764669357342,97.17764669357342
