,PacketsSent,PacketsSentFLC,PacketsSentRO,PacketsReceived,PacketsReceivedFLC,PacketsReceivedRO,PacketsLost(%),PacketsLostFLC(%),PacketsLostRO(%),Jitter,JitterFLC,JitterRO,Latency,LatencyFLC,LatencyRO,PowerConsumed(W),PowerConsumedFLC(W),PowerConsumedRO(W)
T1,832.0,853.0,806.0,832.0,846.0,791.0,0.0,0.82063305978898,1.8610421836228288,0.00624328480073425,0.00605719218207045,0.0090787167424494,0.011909994407071502,0.025684266221375998,0.021027432829279002,1.5239444134200844,1.0203301589494156,1.026454094695333
T2,859.0,953.0,871.0,848.0,940.0,864.0,1.280558789289872,1.3641133263378804,0.8036739380022963,0.015431269699114,0.017779420034906998,0.013339418938562,0.046713051183187,0.046740970305676505,0.04634003667494,1.5603068842547505,1.0459754089497495,1.0496741329766262
T3,2585.0,2558.0,2578.0,2547.0,2519.0,2535.0,1.4700193423597678,1.5246286161063332,1.6679596586501164,0.0248270048330345,0.0262711101214815,0.016018298736617,0.0914497474791105,0.0945090514624275,0.10461446613520001,1.654419096756207,1.1001261705885819,1.125241782978666
T4,3197.0,3575.0,3351.0,3135.0,3514.0,3319.0,1.9393181107288082,1.7062937062937062,0.9549388242315726,0.022911739967588,0.02632944397274,0.016286615848165,0.132486031512196,0.15208231925315002,0.13775046643122002,1.6927208175903747,1.1419595172831236,1.1532297121476252
T5,6589.0,6782.0,6614.0,6490.0,6689.0,6596.0,1.5025041736227045,1.371276909466234,0.2721499848805564,0.024652894058728503,0.028028927994596504,0.057817199105012,0.250777522635795,0.25791850118046,0.2701641603826,1.8674720286896256,1.250453753003751,1.2842058788198338
T6,19417.0,20365.0,19081.0,18899.0,19929.0,18521.0,2.6677653602513263,2.140928062852934,2.934856663696871,0.011656432103307399,0.011507296527218248,0.0070417916268909,0.20620589478537,0.20037106048883002,0.25050242060841,1.861918403298292,1.2606856470487495,1.3260608051863338
T7,38086.0,39795.0,39599.0,37720.0,39560.0,37438.0,0.9609830383868088,0.590526448046237,5.45720851536655,0.00645088324125925,0.006842732633041649,0.0041721338972749,0.20547651085973,0.235822867977255,0.2536262636013,1.9272140803372926,1.328117225996624,1.4200319906180843
T8,39783.0,39817.0,41003.0,39377.0,39218.0,39409.0,1.0205364100243823,1.504382550167014,3.8875204253347317,0.0054538173104395505,0.00553076774763885,0.0080942590753847,0.24272526101021002,0.246214783440185,0.25268984443607,1.9180106231181677,1.311380477260292,1.40176231322075
T9,26045.0,27987.0,26921.0,25937.0,27344.0,26529.0,0.41466692263390287,2.297495265659056,1.4561123286653541,0.014199618219264899,0.0207221403164141,0.0042366243327288,0.12476358899942651,0.1395867031733285,0.22793071802770998,1.7831358496257508,1.212299286168665,1.2879005042499576
T10,35838.0,37438.0,34754.0,35198.0,35632.0,33983.0,1.785813940510073,4.8239756397243445,2.2184496748575704,0.02846724783873485,0.027176463508781102,0.0044103744059084,0.17155265610786952,0.16538134572020702,0.2703561586998,1.8834096237370412,1.2755832672585825,1.3670099677288343
