ID  RSSI  Neighbors  Sources  Throughput
711 0 2 -1 0
781 0 3 -1 0
851 -70.4426 2 0 0
1649 -83.5946 3 0 0
1810 -70.7045 4 0 0
1971 -76.5574 3 0 0
2132 -70.9715 2 0 0
2293 -82.0243 3 1 0
2454 -77.2951 2 1 0
711 -77.625 2 1 0
781 -76.1378 3 1 0
851 -70.4426 2 0 0
1649 -77.289 3 1 0
1810 -70.7045 4 0 0
1971 -77.4291 3 3 0
2132 -78.9486 2 2 0
2293 -79.2026 3 3 0
2454 -77.2951 2 1 0
711 -77.625 2 1 0.0225103
781 -76.1378 3 1 0
851 -70.4426 2 0 0
1649 -77.289 3 1 0.024615
1810 -70.7045 4 0 0
1971 -77.4291 3 3 0.098221
2132 -78.9486 2 2 0.096886
2293 -79.2026 3 3 0.0785988
2454 -77.2951 2 1 0.0242105
711 -77.625 2 1 0.0187936
781 -76.1378 3 1 0
851 -70.4426 2 0 0
1649 -77.289 3 1 0.0184121
1810 -70.7045 4 0 0
1971 -77.4291 3 3 0.0724321
2132 -78.9486 2 2 0.0683393
2293 -79.2026 3 3 0.0548665
2454 -77.2951 2 1 0.0184157
1649 -77.289 1 1 0.0134561
1971 -77.4291 1 3 0.120821
2132 -78.9486 2 2 0.0757068
2293 -79.2026 2 3 0.040348
2454 -77.2951 2 1 0.0132765
1649 -77.289 1 1 0.0116442
1971 -77.4291 1 3 0.11239
2132 -78.9486 2 2 0.0580386
2293 -79.2026 2 3 0.0358884
2454 -77.2951 2 1 0.011384
1649 -77.289 1 1 0.0095392
1971 -77.4291 1 3 0.133825
2132 -78.9486 2 2 0.0610984
2293 -79.2026 2 3 0.0290326
2454 -77.2951 2 1 0.0101832
1649 -77.289 1 1 0.00906291
1971 -77.4291 1 3 0.118888
2132 -78.9486 2 2 0.0518191
2293 -79.2026 2 3 0.0254699
2454 -77.2951 2 1 0.00835733
1649 -77.289 1 1 0.00765331
1971 -77.4291 1 3 0.123319
2132 -78.9486 2 2 0.0459302
