,PacketsSent,PacketsReceived,PacketsLost(%),Jitter,Latency,PowerConsumed(W),Th/Wl(%)
T1,6006.0,5912.0,1.5651015651015652,0.0096813313202097,0.02694677669682267,1.5493756926032083,58.17512592018598
T2,6182.0,6126.0,0.9058557101261727,0.004907404022545934,0.028811850728644003,1.5483728436804995,58.475217555807795
T3,13346.0,12964.0,2.862280833208452,0.010282265210839433,0.05153395366884567,1.5966754820566242,42.44100998537175
T4,12083.0,11847.0,1.953157328478027,0.007573504073344933,0.04580952932461133,1.587051684103458,29.48799297149551
T5,13431.0,12884.0,4.072667709031346,0.0058997461236443,0.045059153063559,1.5924887059239154,157.64084507042253
T6,26073.0,24182.0,7.252713535074598,0.009897695659439801,0.087023361563841,1.672860323738458,10.80504260186321
T7,31354.0,27887.0,11.05760030618103,0.011060171628868833,0.10001326647809333,1.700643774031666,6.499396783675432
T8,23187.0,20117.0,13.2401776857722,0.009418275587302934,0.06623065486632967,1.6413254227291665,4.811698983996282
T9,14061.0,12145.0,13.626342365407865,0.013084142332514698,0.03887304380726,1.5862407509318321,4.363084599344653
T10,17462.0,13804.0,20.948344977665787,0.0107606755378044,0.04250312549587033,1.5994340477313755,4.323347363208715
